Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]	interval_times[10]
440	-209.1665	-155.297	-53.8695	7.96806	15.9361	23.9042	31.8722	39.8403	47.8084	55.7764	63.7445	71.7125	79.6806
450	-202.1836	-153.6774	-48.5062	7.96806	15.9361	23.9042	31.8722	39.8403	47.8084	55.7764	63.7445	71.7125	79.6806
460	-209.5957	-156.7178	-52.87799	7.96806	15.9361	23.9042	31.8722	39.8403	47.8084	55.7764	63.7445	71.7125	79.6806
470	-209.8455	-155.6198	-54.22572	7.96806	15.9361	23.9042	31.8722	39.8403	47.8084	55.7764	63.7445	71.7125	79.6806
480	-210.5019	-155.6169	-54.885	7.96806	15.9361	23.9042	31.8722	39.8403	47.8084	55.7764	63.7445	71.7125	79.6806
490	-216.4894	-160.98	-55.50943	7.96806	15.9361	23.9042	31.8722	39.8403	47.8084	55.7764	63.7445	71.7125	79.6806
500	-207.1166	-153.3735	-53.74305	7.96806	15.9361	23.9042	31.8722	39.8403	47.8084	55.7764	63.7445	71.7125	79.6806
510	-212.6888	-156.935	-55.75382	7.96806	15.9361	23.9042	31.8722	39.8403	47.8084	55.7764	63.7445	71.7125	79.6806
520	-209.7251	-154.4881	-55.23704	7.96806	15.9361	23.9042	31.8722	39.8403	47.8084	55.7764	63.7445	71.7125	79.6806
530	-210.0231	-156.7379	-53.28521	7.96806	15.9361	23.9042	31.8722	39.8403	47.8084	55.7764	63.7445	71.7125	79.6806
540	-207.4094	-158.5952	-48.81416	7.96806	15.9361	23.9042	31.8722	39.8403	47.8084	55.7764	63.7445	71.7125	79.6806
550	-203.6948	-156.2205	-47.47431	7.96806	15.9361	23.9042	31.8722	39.8403	47.8084	55.7764	63.7445	71.7125	79.6806
560	-200.7044	-154.7392	-45.96521	7.96806	15.9361	23.9042	31.8722	39.8403	47.8084	55.7764	63.7445	71.7125	79.6806
