Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
400	-202.9311	-153.9378	-48.9933	0.0131466	0.0358159	3.15486	1.22184	1.13582	0.220226	0.0579096	0.584206	1.59013	0.0812702	2.80462
410	-207.9407	-153.8983	-54.04233	0.00130132	0.0181832	3.21596	1.24288	1.11623	0.118993	0.0645758	0.611329	1.76548	0.108837	2.85819
420	-212.2893	-160.4877	-51.80164	0.00318289	0.148429	3.012	1.28033	1.13288	0.0236942	0.143843	0.764724	1.78443	1.00977	2.89166
430	-206.4619	-156.2245	-50.2374	0.0492353	0.162295	3.02051	1.2962	1.19156	0.0978544	0.0258198	0.639717	2.15132	1.36959	2.84856
440	-209.1665	-155.297	-53.8695	0.00276899	0.127818	3.09836	1.34007	1.3	0.116106	0.0173518	0.75918	2.5678	1.10636	2.95654
450	-202.1836	-153.6774	-48.5062	0.00948337	0.126603	3.2272	1.37165	1.46025	0.118343	0.0421488	0.778629	2.73775	0.601793	3.11018
460	-209.5957	-156.7178	-52.87799	0.080969	0.111779	3.1653	1.34608	1.54974	0.0452589	0.0323827	0.701537	2.6179	0.79083	3.19562
470	-209.8455	-155.6198	-54.22572	0.000448703	0.0147057	3.11723	1.4397	1.55995	0.0286673	0.0725134	0.854722	2.53847	1.4434	2.82283
480	-210.5019	-155.6169	-54.885	6.63583e-05	0.0193037	3.22455	1.47941	1.31026	0.0371047	0.0361008	0.854252	3.11542	0.818489	2.91236
490	-216.4894	-160.98	-55.50943	0.0391619	0.0921392	3.19798	1.46414	1.31593	0.0241672	0.0372858	0.944809	2.97998	0.304454	2.55016
500	-207.1166	-153.3735	-53.74305	0.00198111	0.0598251	3.17867	1.31669	1.48057	0.0256517	0.0640615	0.830756	2.29021	0.456138	2.42263
510	-212.6888	-156.935	-55.75382	0.00135486	0.0108639	3.21357	1.32108	1.22958	0.00662917	0.169467	1.01056	1.68284	0.400082	2.48073
520	-209.7251	-154.4881	-55.23704	0.00107258	0.025619	3.12583	1.29147	1.22455	0.0728928	0.129061	1.00726	2.57032	0.106538	2.47973
530	-210.0231	-156.7379	-53.28521	0.0128419	0.0276956	3.18166	1.29808	1.27593	0.1712	0.104932	0.851838	1.86399	0.388727	2.58987
540	-207.4094	-158.5952	-48.81416	0.0171815	0.265187	3.09478	1.24062	1.1536	0.100385	0.132384	0.863991	1.58771	0.619707	2.4987
550	-203.6948	-156.2205	-47.47431	0.00375915	0.264558	3.08877	1.12329	1.04805	0.142549	0.0750444	0.860614	1.69731	0.660388	2.31622
560	-200.7044	-154.7392	-45.96521	0.00672105	0.262626	3.64153	1.22562	0.580062	0.129053	0.102949	1.08214	1.50894	0.599479	2.40549
570	-199.3259	-154.8971	-44.42874	0.00497995	0.194479	3.36306	0.920037	0.728418	0.0608693	0.0943907	1.00553	1.89879	0.892083	2.22006
580	-200.6721	-157.6002	-43.07196	0.00250869	0.0394901	3.23181	0.859486	0.813008	0.179748	0.1692	0.985183	1.10184	1.60793	2.07004
590	-200.5551	-155.0362	-45.51891	0.0142357	0.0847203	3.16131	0.830674	0.665	0.125516	0.279706	0.696177	1.33351	1.20784	2.02446
600	-198.7525	-153.8938	-44.85869	0.0227117	0.137055	2.82026	0.672924	0.972399	0.213632	0.149962	0.820003	1.46417	0.837993	1.73967
610	-197.3858	-153.7909	-43.59499	0.00288729	0.0276358	2.7604	0.664098	0.906535	0.16234	0.16317	0.998594	1.62105	0.633429	1.69367
620	-197.5615	-153.567	-43.99452	0.00774743	0.0664734	2.74781	0.548603	1.01588	0.118597	0.120273	0.794978	1.57855	0.313866	1.64698
630	-199.787	-154.1696	-45.61749	0.00181328	0.0341064	2.62668	0.330643	0.887597	0.198211	0.144077	0.758418	0.814754	0.5232	1.16511
640	-200.6733	-158.134	-42.53937	0.0116138	0.0896864	2.42466	0.379929	0.870699	0.204786	0.172697	0.771025	1.10563	0.380074	0.925612
650	-210.3076	-160.4602	-49.84742	0.0420409	0.179746	2.47224	0.361327	1.10142	0.0656582	0.0731998	0.804759	1.5417	0.0632679	0.664288
660	-207.902	-159.586	-48.31602	0.153084	0.129643	2.29887	0.379387	0.768037	0.100257	0.0794248	0.79618	0.83322	0.237546	0.589501
670	-206.283	-160.8141	-45.46891	0.0201281	0.144231	2.22796	0.192155	0.814767	0.0745593	0.0793178	0.839594	0.896623	0.422958	0.329233
680	-201.0271	-157.6953	-43.33184	0.0035218	0.228951	2.33558	0.340638	0.796658	0.123345	0.0313793	0.729284	0.509638	0.382616	0.579382
690	-197.4818	-155.8848	-41.59695	0.015317	0.126438	2.58899	0.400363	0.871196	0.123536	0.0729411	0.800119	0.907908	0.422576	0.627892
700	-201.3007	-154.324	-46.97665	0.0269785	0.069502	2.6933	0.364065	0.822243	0.0914437	0.126298	0.771538	1.29398	0.379316	1.28546
710	-195.5044	-155.0883	-40.41615	0.0287313	0.212536	2.78257	0.240365	0.802986	0.119567	0.175584	0.804174	0.922182	1.11629	1.37518
720	-196.5602	-156.1554	-40.40477	0.0131814	0.184956	2.47422	0.19632	0.867784	0.106615	0.0482485	0.872194	0.938128	0.482138	1.37415
730	-200.0424	-157.6303	-42.41209	0.00744378	0.150171	2.44402	0.402759	1.04174	0.148706	0.104956	1.10756	1.13534	0.513638	0.863723
740	-200.2177	-156.5268	-43.69087	0.00128579	0.0079735	2.68466	0.340142	1.25547	0.240689	0.136388	1.35533	1.07402	0.214798	0.931587
750	-198.0819	-154.555	-43.5269	0.0118588	0.146693	2.80418	0.33931	1.16616	0.157699	0.102968	1.06629	1.16492	0.984892	0.724627
760	-197.985	-153.6298	-44.35513	0.00508438	0.0824594	3.04338	0.257741	1.20139	0.190409	0.155868	1.27162	1.7527	1.45338	0.947036
770	-201.1423	-158.265	-42.87735	0.00372036	0.0428399	3.06336	0.257614	1.15517	0.224518	0.0909124	1.35017	1.57577	1.64108	0.939065
780	-198.5826	-155.4399	-43.14262	0.00918058	0.0657239	3.12614	0.251807	1.00419	0.156623	0.113355	1.37978	1.4317	1.16048	1.13342
790	-195.6769	-155.8079	-39.86901	0.00584887	0.0402224	3.05295	0.368773	1.02203	0.27356	0.144414	1.29914	0.742117	0.134787	1.21154
800	-199.1098	-155.5898	-43.51996	0.0234004	0.0822661	2.94698	0.288872	0.986783	0.0851299	0.0988678	1.31917	0.620825	0.251944	1.08874
810	-196.1976	-153.7119	-42.48565	0.019491	0.102504	2.82768	0.344261	0.837287	0.105627	0.0743401	1.2189	0.860493	0.0976156	1.17488
820	-195.8605	-153.8884	-41.97205	0.00147781	0.170468	2.75269	0.427463	0.591847	0.37827	0.172665	1.04284	1.16012	0.309357	0.902573
830	-197.8361	-156.4919	-41.34425	0.0194031	0.0361024	2.5024	0.449373	0.64555	0.149646	0.158489	0.939863	0.969676	0.928864	0.841446
840	-197.4703	-153.5831	-43.88719	0.00771836	0.0785019	2.65976	0.313567	0.719543	0.0853642	0.194056	1.09634	0.791385	0.987262	0.725009
850	-203.9165	-155.1897	-48.72682	0.000390783	0.118857	2.5003	0.228128	0.791579	0.289108	0.0798971	0.989927	0.788598	1.07012	0.895053
860	-212.095	-156.4184	-55.67662	0.000159562	0.0581599	2.50845	0.140711	0.826115	0.278579	0.0695008	0.966499	0.990823	0.631273	0.576423
870	-212.3914	-155.2275	-57.16388	0.000970934	0.00615416	2.13001	0.143107	0.792858	0.211852	0.0502544	0.753185	0.959986	1.42441	0.392477
880	-210.1045	-158.3032	-51.80126	0.00773818	0.0260173	2.24639	0.401433	0.97587	0.283857	0.0668964	0.53814	0.879716	0.142605	0.395103
