Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
410	-207.9407	-153.8983	-54.04233	1.5592	0.563658	2.63741	1.06913	0.0254958	0.218962	0.0856118	0.174737	2.38548	2.2917	1.73858
420	-212.2893	-160.4877	-51.80164	1.67595	0.388067	2.88037	1.11101	0.0568528	0.100007	0.114757	0.152402	3.13453	2.35517	1.83908
430	-206.4619	-156.2245	-50.2374	1.65344	0.40516	2.87328	1.01865	0.0622881	0.0928694	0.182903	0.155734	3.12685	2.56408	1.97167
440	-209.1665	-155.297	-53.8695	1.44735	0.389635	3.1606	1.12994	0.0939762	0.0325849	0.258965	0.126295	3.08719	2.64352	2.20712
450	-202.1836	-153.6774	-48.5062	1.41381	0.351723	3.24073	1.23374	0.273085	0.061592	0.282247	0.279752	2.903	2.57622	2.20181
460	-209.5957	-156.7178	-52.87799	1.35402	0.327216	3.39432	1.40624	0.0850628	0.0789429	0.20667	0.195389	3.20772	3.40539	1.85469
470	-209.8455	-155.6198	-54.22572	1.29967	0.442375	3.3998	1.37135	0.0578112	0.0125006	0.217879	0.226496	2.94832	3.62088	1.86097
480	-210.5019	-155.6169	-54.885	1.26081	0.275936	3.29812	1.46493	0.0565287	0.032384	0.145181	0.403305	3.41849	3.12652	1.96578
490	-216.4894	-160.98	-55.50943	1.2511	0.296825	3.23402	1.46669	0.133126	0.00697756	0.293961	0.270543	3.25308	1.16789	1.98347
500	-207.1166	-153.3735	-53.74305	1.09865	0.496239	3.04412	1.40705	0.225008	0.0243161	0.367411	0.25795	2.51456	1.73221	1.77908
510	-212.6888	-156.935	-55.75382	1.02862	0.531994	3.03539	1.49061	0.0394332	0.0520606	0.4612	0.181463	2.53848	0.982708	2.02348
520	-209.7251	-154.4881	-55.23704	0.905752	0.478692	3.07698	1.4548	0.0611683	0.0344762	0.64017	0.20537	2.99643	0.511328	2.28215
530	-210.0231	-156.7379	-53.28521	0.830686	0.578896	3.0635	1.53151	0.18239	0.028894	0.509198	0.136046	3.05098	0.162161	2.26465
540	-207.4094	-158.5952	-48.81416	0.923758	0.783471	2.98435	1.45311	0.0690823	0.028797	0.327762	0.28439	2.86064	0.418426	2.16377
550	-203.6948	-156.2205	-47.47431	0.729004	0.720333	2.89996	1.4032	0.156043	0.0852881	0.339413	0.221868	2.11566	0.779405	2.38249
