Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
360	-226.7232	-182.6185	-44.10469	0.000696446	0.0046887	0.0272157	0.0358971	0.0692951	0.0592391	0.0149767	0.00772246	0.011883	0.0233843	0.00486315
370	-221.794	-180.0795	-41.71449	0.00186819	0.0045916	0.0203481	0.0455284	0.0860615	0.0516162	0.0360829	0.048001	0.0198257	0.00441595	0.0184507
380	-204.2517	-181.0805	-23.17125	0.00479589	0.00598844	0.0218517	0.0545382	0.0908949	0.0555653	0.0594435	0.0610437	0.026297	0.00888209	0.0213431
390	-201.1912	-182.2873	-18.90389	0.0122059	0.00833843	0.0135899	0.0386693	0.0895986	0.0475461	0.0224106	0.0380275	0.023382	0.01252	0.0226056
400	-212.0359	-180.7593	-31.27662	0.00206208	0.00353568	0.00856998	0.0593077	0.142221	0.099891	0.0654433	0.00837584	0.0168212	0.00603941	0.00678098
410	-223.9888	-178.2876	-45.70122	0.000577866	0.000878253	0.0227186	0.038137	0.113554	0.0943319	0.069113	0.0183368	0.034543	0.0524617	0.0608068
420	-218.3378	-183.3562	-34.98155	0.00845762	0.00848436	0.0121581	0.0331753	0.0642221	0.0709405	0.0291135	0.0390572	0.0540939	0.0561138	0.0484345
430	-214.5947	-181.8385	-32.7562	0.00375253	0.00723088	0.0113912	0.0370859	0.0959333	0.0585022	0.0495981	0.0238659	0.0896315	0.0830771	0.0523668
440	-197.9472	-181.183	-16.76424	0.00752787	0.012914	0.0198281	0.0333351	0.143935	0.0748768	0.051221	0.0481571	0.0305923	0.00884933	0.0453658
450	-218.795	-179.5915	-39.20358	0.00250795	0.00494683	0.0399755	0.0681624	0.0878553	0.104555	0.0418111	0.0141293	0.0204952	0.0244417	0.0412637
460	-232.036	-183.0797	-48.95634	0.00105847	0.00397562	0.00845045	0.0431352	0.0573408	0.09859	0.0208041	0.0274633	0.0169486	0.0635352	0.0660072
470	-202.262	-183.3551	-18.90688	0.0110944	0.0119892	0.0125643	0.0292861	0.125206	0.0485581	0.0588567	0.0252853	0.0958899	0.028521	0.0587501
480	-206.9129	-180.0211	-26.89176	0.00147174	0.00280843	0.0164273	0.0543501	0.163955	0.110056	0.0474843	0.0149764	0.0220598	0.0968818	0.0466424
490	-228.9936	-182.5543	-46.43935	0.00584814	0.00865902	0.0171035	0.0254159	0.152424	0.0687865	0.0784082	0.0215598	0.0237591	0.0098618	0.00972194
500	-213.8231	-178.7127	-35.11035	0.00297534	0.00205135	0.0206028	0.0466673	0.114699	0.0690007	0.0327609	0.0388344	0.0366875	0.0353284	0.058067
510	-205.8946	-179.173	-26.72161	9.57857e-05	0.00161914	0.0146184	0.0293168	0.118297	0.107282	0.0439353	0.0321786	0.00674307	0.0271714	0.0393764
520	-187.4045	-178.2766	-9.127879	0.00127933	0.0011547	0.0142087	0.0535229	0.111633	0.0827327	0.0460322	0.0226939	0.0469797	0.0464996	0.0248994
530	-201.2158	-178.1749	-23.04093	0.000747449	0.00425595	0.024691	0.04839	0.122567	0.0943482	0.0255523	0.00964908	0.0329488	0.0375922	0.0754762
540	-214.8699	-180.7167	-34.15317	0.00285416	0.00522117	0.0175645	0.0209868	0.109193	0.079603	0.0261644	0.0102637	0.00418936	0.0171267	0.0222361
550	-204.2368	-180.408	-23.82881	0.00413745	0.00705187	0.0163139	0.0392617	0.0873631	0.0832966	0.0797241	0.0261584	0.0290999	0.0355738	0.0597799
560	-190.5915	-179.578	-11.0135	0.00273334	0.00683904	0.0162478	0.0427636	0.130324	0.0894271	0.054524	0.0528981	0.0209309	0.0187294	0.0341741
570	-211.7766	-180.6319	-31.14462	0.000413399	0.00458245	0.0120991	0.0402438	0.0787018	0.0609971	0.0519932	0.0275017	0.0312193	0.0644765	0.0399667
580	-202.2489	-180.0251	-22.22383	0.00141189	0.00278117	0.00907412	0.030213	0.126091	0.137448	0.0606497	0.017844	0.0395802	0.0104358	0.0127959
590	-212.5481	-178.9332	-33.61481	0.00213983	0.00109682	0.0216201	0.045976	0.0788588	0.0931324	0.0120818	0.00798188	0.0223349	0.0100241	0.0105624
600	-220.5875	-178.7888	-41.79871	0.00061216	0.00708878	0.0180006	0.0389535	0.116318	0.0704005	0.0277976	0.0397324	0.0533905	0.0237249	0.0374092
610	-218.8362	-178.5808	-40.25538	0.000566337	0.00515826	0.0109734	0.0522218	0.118649	0.105316	0.0208776	0.0278584	0.0142967	0.0109542	0.0286831
620	-218.7102	-178.9903	-39.71991	0.000551271	0.00635663	0.0164426	0.0307148	0.081835	0.0853265	0.0378089	0.0112866	0.0219443	0.0282969	0.0305076
630	-206.7823	-181.5203	-25.26203	0.00586936	0.00628195	0.0219576	0.0721184	0.104468	0.109045	0.0605503	0.0573899	0.0729857	0.0187468	0.0221934
640	-217.8178	-183.6932	-34.12459	0.00197808	0.0044631	0.0105446	0.0332841	0.0782508	0.130188	0.0753797	0.0425976	0.0148953	0.00711777	0.00460423
650	-206.2377	-180.4873	-25.75044	0.00270534	0.00326022	0.0183275	0.0273593	0.107768	0.136023	0.026386	0.0567513	0.0276868	0.0314573	0.106888
660	-205.3789	-183.5586	-21.82029	0.00501104	0.0191594	0.0159488	0.0620838	0.0786207	0.0606614	0.0469472	0.0206974	0.0543607	0.0348864	0.0951255
670	-197.0028	-180.6464	-16.35636	0.00156726	0.00285733	0.0201302	0.0317934	0.129987	0.043666	0.0858248	0.0157731	0.008795	0.0122112	0.0234583
680	-217.92	-181.2803	-36.63969	0.00301885	0.00296939	0.0135098	0.0431902	0.055069	0.0842473	0.0259493	0.0215465	0.0150386	0.0277634	0.0230257
690	-216.4989	-184.9947	-31.50422	0.0015591	0.00889359	0.00567113	0.0259486	0.157104	0.169837	0.0568094	0.042201	0.0368796	0.0622713	0.0609022
700	-204.4455	-182.3009	-22.14461	0.00792679	0.00453276	0.0567676	0.0363538	0.137688	0.133871	0.0253139	0.0168224	0.0400278	0.00521029	0.0139108
710	-207.6513	-181.5138	-26.13749	0.00434667	0.00491806	0.0170148	0.0607301	0.175942	0.143893	0.0521155	0.0242914	0.0112039	0.0129799	0.0114427
720	-220.0794	-181.2863	-38.79308	0.00405143	0.0043617	0.00701183	0.029875	0.155453	0.0964153	0.0173747	0.0217975	0.00616579	0.017017	0.0538577
730	-215.821	-182.4187	-33.40233	0.000882522	0.00523995	0.0142124	0.0752031	0.0592014	0.087975	0.0309031	0.072703	0.0178505	0.0145923	0.0539019
740	-222.8121	-183.5344	-39.2777	0.00688951	0.013125	0.0216339	0.0487075	0.102537	0.0426802	0.0132009	0.019355	0.0287316	0.0332118	0.0139063
750	-199.859	-180.5574	-19.30151	0.00187189	0.00158976	0.00973605	0.0221648	0.137767	0.0582798	0.00706911	0.00472879	0.00648617	0.00141639	0.0515519
760	-206.8467	-178.1199	-28.72683	0.000496116	0.00118039	0.0214152	0.0376862	0.0986265	0.0947729	0.0412669	0.00528114	0.00474537	0.00533842	0.0189716
770	-214.1269	-181.0499	-33.07695	0.00282526	0.00610043	0.0149399	0.139945	0.131352	0.0767204	0.0144039	0.025178	0.0206681	0.0253894	0.0720922
780	-222.6547	-179.1409	-43.5138	0.00277369	0.00657362	0.0242256	0.0556803	0.115162	0.0844665	0.0118861	0.00849181	0.00820188	0.0051923	0.0192402
790	-202.1604	-180.6352	-21.52521	0.00242469	0.00130881	0.0050197	0.040406	0.137404	0.130406	0.0694111	0.0113791	0.0142464	0.0311217	0.0368623
800	-209.7037	-183.7739	-25.92981	0.00305098	0.00535333	0.0328715	0.0315823	0.0598471	0.0748152	0.0377074	0.0528142	0.10728	0.0622896	0.0329284
810	-218.5498	-184.0264	-34.52347	0.0146502	0.0137328	0.0444516	0.0874283	0.182145	0.132978	0.0820368	0.0117081	0.0136759	0.00626609	0.00566
820	-208.0653	-180.645	-27.42029	0.00121958	0.00793263	0.0373875	0.0431897	0.136693	0.0873877	0.0179903	0.00744942	0.0131284	0.00901534	0.00778269
830	-191.5513	-182.0256	-9.52561	0.00401348	0.0066973	0.0122308	0.0751605	0.117452	0.119169	0.0262213	0.0533316	0.0222408	0.0118555	0.0101917
840	-208.8035	-182.0628	-26.74071	0.00359472	0.0110378	0.0235261	0.0707453	0.11524	0.0501011	0.0412958	0.0344497	0.0202774	0.0201158	0.014071
850	-202.9456	-180.0964	-22.84922	0.000401237	0.00085918	0.0101798	0.038192	0.0672066	0.15436	0.0108423	0.00176872	0.0208367	0.00997539	0.0778594
860	-192.8646	-180.7324	-12.13216	0.00731732	0.00235377	0.020377	0.0224556	0.0918876	0.0997469	0.0366242	0.0291205	0.0172973	0.0262351	0.0691966
870	-185.0613	-182.272	-2.789299	0.00422057	0.00832145	0.0316638	0.0353058	0.0765533	0.0607126	0.0338847	0.00672585	0.0177061	0.00762338	0.00870407
880	-229.8197	-180.7956	-49.02418	0.000101212	0.000260773	0.00849567	0.0562352	0.0861727	0.163769	0.0508869	0.0107946	0.003432	0.00160399	0.023862
890	-200.7742	-179.0672	-21.70699	0.00265814	0.00476775	0.0160037	0.0716241	0.130937	0.138405	0.0326384	0.0300106	0.0534411	0.0849475	0.111085
900	-165.1019	-178.4833	13.38137	0.000359503	0.000782844	0.0195044	0.0340857	0.073485	0.0758151	0.0241812	0.0145007	0.0204687	0.027946	0.0511847
910	-216.3532	-181.2582	-35.095	0.00913279	0.0105242	0.020955	0.0597576	0.0936351	0.0688351	0.0272441	0.0231466	0.0293433	0.0218195	0.0162158
920	-210.3136	-180.1069	-30.20665	0.00194775	0.0039871	0.00660018	0.0548214	0.128192	0.0935777	0.0283438	0.0454134	0.0547779	0.0326597	0.0585402
930	-225.8352	-179.2027	-46.63245	0.00276278	0.00125729	0.0181736	0.0420235	0.0870704	0.0409863	0.0287259	0.00989974	0.0227508	0.0164294	0.0736217
940	-186.4373	-180.6509	-5.78632	0.00733595	0.0134401	0.0247607	0.0431848	0.13056	0.0757018	0.0306159	0.0209397	0.0481468	0.0347886	0.0460737
950	-216.17	-180.5152	-35.65477	0.00262699	0.00970208	0.0127644	0.0336308	0.0924311	0.11555	0.0506509	0.0396293	0.0366759	0.0293924	0.0347152
960	-229.4452	-179.6573	-49.78797	0.00203935	0.00459804	0.0295148	0.0533529	0.108025	0.141985	0.0414407	0.0071838	0.0158035	0.0509003	0.0932536
970	-223.1607	-180.9686	-42.19213	0.00157761	0.00178637	0.0278772	0.0586171	0.186157	0.0470097	0.0603747	0.0210697	0.00682715	0.0105087	0.0201079
980	-238.19	-183.3749	-54.81507	0.0112391	0.00626962	0.0145729	0.0403594	0.0758633	0.0732977	0.0118301	0.00630445	0.00473839	0.0160573	0.0543988
