Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
100	-186.2831	-183.0308	-3.2523	0.0023159	0.00262963	0.00293953	0.00291545	0.00294585	0.00275319	0.00288643	0.00264793	0.00275603	0.00268347	0.00240417	0.07792386	-6.06796	-5.94091	-5.82951	-5.83773	-5.82736	-5.895	-5.84773	-5.93398	-5.89397	-5.92065	-6.03055	-5.54042	-5.40299	-4.48141	-3.24591	-2.91593	-2.93088	-3.36242	-3.93817	-3.86778	-3.95874	-3.91502	0.00392489	0.00450311	0.0113174	0.0389332	0.0541539	0.0533503	0.0346513	0.0194839	0.0209047	0.0190872	0.0199402	0.5582224
110	-195.8324	-181.6935	-14.13884	0.000952553	0.00118201	0.00123234	0.00113708	0.00102787	0.0011947	0.00102774	0.000997218	0.0011495	0.00114925	0.00110709	0.1500564	-6.95636	-6.74054	-6.69884	-6.77929	-6.88027	-6.72986	-6.8804	-6.91054	-6.76843	-6.76865	-6.80602	-4.78334	-4.29806	-4.17971	-3.51625	-2.56345	-2.47926	-4.17125	-4.00318	-2.85942	-3.97395	-3.19959	0.00836797	0.0135949	0.0153029	0.0297108	0.0770384	0.0838056	0.0154329	0.0182576	0.0573022	0.0187989	0.0407789	1.191769
120	-199.9137	-179.8311	-20.08262	0.0135778	0.0160227	0.0184879	0.0186012	0.0153577	0.0146074	0.0179435	0.0173679	0.0191087	0.0165313	0.0104404	0.2125775	-4.29932	-4.13375	-3.99064	-3.98453	-4.17614	-4.22622	-4.02053	-4.05313	-3.95761	-4.1025	-4.56207	-5.82253	-6.36751	-4.16281	-2.98597	-2.24408	-2.38768	-2.34146	-3.34666	-3.92403	-4.0641	-2.40183	0.0029601	0.00171643	0.0155638	0.0504903	0.106025	0.0918428	0.0961874	0.0352019	0.0197612	0.0171784	0.0905524	1.179143
130	-205.2456	-177.6638	-27.58185	0.0002748	0.000312352	0.000360916	0.000377563	0.00038944	0.00037228	0.000503378	0.000410291	0.000463859	0.000308398	0.000189205	0.3158021	-8.19947	-8.07138	-7.92687	-7.88177	-7.8508	-7.89587	-7.59417	-7.79864	-7.67593	-8.08412	-8.57268	-6.19144	-6.99095	-3.48752	-3.05458	-2.1671	-2.02821	-4.17838	-4.57672	-3.22966	-5.09149	-3.66875	0.00204688	0.000920172	0.0305767	0.0471427	0.114509	0.131571	0.0153233	0.0102886	0.0395711	0.00614883	0.0255084	1.653729
140	-198.3133	-179.7743	-18.53896	0.000380141	0.000283273	0.000224068	0.00020457	0.000179013	0.000221183	0.000254207	0.000308997	0.000264941	0.000293921	0.00024048	0.2773659	-7.87497	-8.1691	-8.40356	-8.4946	-8.62805	-8.41652	-8.27736	-8.08218	-8.236	-8.1322	-8.33287	-6.21967	-5.904	-4.38062	-3.25705	-2.51005	-2.59759	-2.98621	-4.02644	-3.62722	-2.93031	-2.69744	0.0019899	0.00272851	0.0125176	0.0385018	0.0812644	0.0744529	0.0504783	0.0178378	0.0265901	0.0533807	0.0673779	1.075774
150	-170.3091	-180.3926	10.08342	0.000715959	0.000705125	0.000711744	0.00072675	0.000725825	0.000719755	0.000730014	0.000735697	0.000744935	0.000730013	0.000739201	0.01852305	-7.24189	-7.25714	-7.24779	-7.22693	-7.2282	-7.2366	-7.22245	-7.21469	-7.20221	-7.22245	-7.20994	-4.83501	-4.55165	-3.4329	-2.83191	-2.0439	-2.46269	-3.4937	-4.58522	-3.80827	-3.85706	-3.47682	0.00794664	0.0105498	0.0322931	0.0589003	0.129523	0.0852057	0.0303884	0.0102015	0.0221866	0.02113	0.0309054	0.7639238
160	-209.7821	-181.6982	-28.08383	0.000517686	0.000419645	0.000325197	0.000482537	0.00113588	0.00101675	0.000696933	0.000758865	0.000879492	0.00122152	0.00109655	0.3016148	-7.56614	-7.7761	-8.03108	-7.63645	-6.78035	-6.89115	-7.26882	-7.18369	-7.03617	-6.70766	-6.81559	-8.05642	-6.92179	-5.14868	-3.70618	-2.6927	-2.49814	-4.02977	-3.38686	-4.38642	-4.92447	-3.2479	0.00031706	0.000986064	0.00580705	0.0245711	0.0676977	0.0822381	0.0177784	0.0338146	0.0124452	0.00726661	0.0388555	1.323181
170	-173.917	-179.7197	5.802721	0.00673511	0.00691027	0.00693068	0.00714017	0.00701069	0.00694224	0.00707434	0.00698277	0.00690182	0.00691822	0.00694281	0.01545849	-5.00042	-4.97475	-4.9718	-4.94202	-4.96032	-4.97013	-4.95128	-4.96431	-4.97597	-4.9736	-4.97005	-7.11303	-6.44272	-4.4398	-3.43984	-2.2332	-1.82809	-3.03171	-3.80991	-3.12729	-3.55331	-3.81058	0.000814427	0.00159207	0.0117983	0.0320699	0.107185	0.160719	0.0482333	0.0221502	0.0438366	0.0286297	0.0221354	1.005833
180	-200.6996	-182.1637	-18.53587	0.0256265	0.0220946	0.0185129	0.0209054	0.0193585	0.0246064	0.0207973	0.0214102	0.0272638	0.0167571	0.0183422	0.3287076	-3.66413	-3.81242	-3.98929	-3.86775	-3.94462	-3.70475	-3.87293	-3.84389	-3.6022	-4.08893	-3.99855	-4.55515	-4.92334	-4.05114	-2.59422	-1.74132	-1.8544	-2.46263	-2.50629	-3.3001	-3.39155	-3.21517	0.0105129	0.00727479	0.0174025	0.0747041	0.175289	0.156546	0.0852104	0.0815701	0.0368794	0.0336566	0.0401485	0.5231082
190	-205.6986	-182.905	-22.79364	0.00249187	0.00300164	0.00194687	0.00258756	0.00237291	0.00227004	0.00193122	0.0018623	0.00140182	0.00137387	0.00152107	0.2639848	-5.99472	-5.8086	-6.24153	-5.95704	-6.04364	-6.08796	-6.2496	-6.28594	-6.56999	-6.59012	-6.48834	-6.44293	-5.15453	-3.11285	-3.53982	-2.33669	-2.77635	-3.5341	-3.72913	-2.32654	-4.33064	-5.08386	0.00159174	0.00577317	0.0444741	0.0290185	0.096647	0.0622656	0.0291849	0.0240138	0.0976327	0.0131591	0.00619597	1.006573
200	-197.3444	-185.5147	-11.82968	0.00427064	0.0040098	0.00458393	0.00457081	0.00382217	0.00435524	0.00386575	0.00363138	0.00387981	0.00350942	0.00316587	0.1060633	-5.45599	-5.51901	-5.3852	-5.38806	-5.56694	-5.43638	-5.5556	-5.61814	-5.55197	-5.6523	-5.75533	-5.16894	-4.07838	-3.39193	-2.66275	-1.68376	-2.68087	-2.94662	-2.59712	-3.28932	-2.90654	-2.93542	0.00569059	0.0169349	0.0336438	0.0697559	0.185674	0.0685035	0.0525169	0.0744879	0.0372793	0.0546646	0.0531082	0.4501123
210	-228.5687	-183.5405	-45.0282	0.00700107	0.138746	0.0762753	0.012351	0.0102482	0.00232234	0.00263231	0.00876221	0.00425742	0.0115219	0.016026	1.953345	-4.96169	-1.97511	-2.57341	-4.39402	-4.58066	-6.06518	-5.9399	-4.73731	-5.45909	-4.46351	-4.13354	-6.05678	-5.02716	-2.9656	-1.54013	-1.82518	-3.14677	-5.43796	-4.96852	-3.69303	-4.56733	-3.0863	0.00234194	0.0065574	0.0515296	0.214353	0.161189	0.0429909	0.00434834	0.00695346	0.0248964	0.0103857	0.0456705	1.393442
220	-213.0368	-179.88	-33.15678	0.000957628	0.000939187	0.000648566	0.00115837	0.00310234	0.00525341	0.00538179	0.00788634	0.00822315	0.00753515	0.00508682	0.9698034	-6.95105	-6.9705	-7.34075	-6.76074	-5.7756	-5.24888	-5.22474	-4.84262	-4.8008	-4.88818	-5.2811	-4.78599	-5.66483	-4.39102	-3.22901	-2.16051	-1.93807	-3.43652	-4.07354	-2.6183	-4.15175	-3.87833	0.00834587	0.00346575	0.0123881	0.0395965	0.115266	0.143982	0.0321763	0.017017	0.0729267	0.0157368	0.0206854	1.06594
230	-213.6558	-179.0889	-34.56697	8.55779e-05	6.986e-05	4.61241e-05	2.76518e-05	7.32795e-05	5.53769e-05	7.50365e-05	6.64998e-05	7.22955e-05	0.000302673	0.000452463	0.5486229	-9.36608	-9.56902	-9.98418	-10.4958	-9.52123	-9.80135	-9.49754	-9.61831	-9.53475	-8.10286	-7.70081	-9.08166	-6.63581	-4.09754	-3.05114	-1.94974	-2.19777	-2.83945	-3.88095	-4.2085	-3.43825	-4.25503	0.000113733	0.00131251	0.0166134	0.0473048	0.142311	0.111051	0.0584581	0.0206313	0.0148687	0.032121	0.0141926	1.411707
240	-211.7162	-178.0804	-33.63585	0.000127812	8.13839e-05	5.51728e-05	0.000101758	7.05859e-05	0.000141198	0.000163343	0.00014515	0.000254534	0.000284708	0.000297324	0.6142424	-8.96495	-9.41633	-9.80504	-9.19292	-9.55868	-8.86535	-8.71966	-8.83774	-8.27608	-8.16404	-8.12069	-9.86325	-6.40079	-4.39368	-2.84007	-2.26546	-2.17074	-3.57323	-3.41028	-4.06282	-5.37928	-3.72122	5.20531e-05	0.00166024	0.0123552	0.0584216	0.103782	0.114093	0.028065	0.0330321	0.0172004	0.00461113	0.0242045	1.482343
250	-215.9652	-180.6199	-35.34534	0.00168021	0.00131029	0.000652571	0.000183168	0.000741666	0.00056252	0.000960548	0.000659146	0.00077858	0.0028402	0.00124511	0.7592563	-6.38884	-6.63751	-7.33459	-8.60511	-7.20661	-7.48308	-6.94801	-7.32456	-7.15804	-5.86388	-6.68853	-5.0745	-5.13396	-4.26075	-2.6328	-2.58783	-2.62569	-4.60955	-5.44985	-4.00086	-4.12246	-2.91214	0.00625422	0.00589318	0.0141117	0.0718768	0.0751827	0.0723898	0.00995632	0.00429697	0.0182998	0.0162046	0.0543592	1.120646
