Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
340	-218.63	-179.2858	-39.34418	0.000272161	0.000369261	6.37897e-05	1.80261e-05	3.27721e-05	3.52109e-06	7.62013e-07	1.0245e-06	1.11757e-06	8.41906e-07	5.32629e-07
350	-196.2076	-179.8439	-16.36365	0.000363392	0.000331645	0.000377183	0.000293851	0.000269996	0.000225146	0.000215551	0.000216372	0.00021429	0.00022962	0.000184463
360	-226.7232	-182.6185	-44.10469	0.000878464	0.000468436	0.00055294	0.000245988	3.92217e-06	3.24333e-07	3.36602e-07	1.38152e-06	1.50378e-06	3.01953e-06	2.50222e-06
370	-221.794	-180.0795	-41.71449	9.46974e-05	6.39882e-05	9.47705e-06	4.45419e-06	7.09392e-07	8.00518e-08	1.23553e-07	1.28982e-08	4.89123e-08	4.82671e-08	3.71053e-08
380	-204.2517	-181.0805	-23.17125	0.000740371	0.000903869	0.000929942	0.000495724	0.000294798	0.000250515	0.000146767	0.000168606	0.000155428	0.000200928	0.00013141
390	-201.1912	-182.2873	-18.90389	0.000135124	0.000111139	8.03158e-05	6.77106e-05	3.87504e-05	4.68308e-05	3.87638e-05	2.88937e-05	3.11559e-05	3.86961e-05	2.83327e-05
400	-212.0359	-180.7593	-31.27662	6.83913e-05	6.11894e-05	2.25957e-05	2.46235e-05	3.31405e-05	4.74573e-05	2.58975e-05	3.44553e-05	2.90695e-05	1.03853e-05	1.46879e-05
410	-223.9888	-178.2876	-45.70122	0.00117224	0.000322626	0.00167321	0.0050816	0.00136924	0.000261222	4.60686e-05	5.72373e-05	0.000372612	0.00964079	0.0178431
420	-218.3378	-183.3562	-34.98155	0.000277037	0.00463371	0.00229439	0.00368329	0.000718536	0.000217775	0.00287194	0.00563529	0.0113939	0.00702085	0.0257497
430	-214.5947	-181.8385	-32.7562	9.93578e-05	0.000867788	0.000521759	0.000360982	0.000605875	0.000473495	0.000582002	0.000647807	0.00123733	0.000565793	0.00111097
440	-197.9472	-181.183	-16.76424	0.013895	0.0120534	0.0130664	0.0118439	0.0119469	0.0127744	0.010307	0.00844268	0.00932562	0.00647392	0.0061532
450	-218.795	-179.5915	-39.20358	0.0438352	0.0157703	0.00813557	0.0243248	0.0413898	0.00201424	0.0048618	0.00180066	0.000134784	5.54581e-05	8.06642e-05
460	-232.036	-183.0797	-48.95634	0.00114772	0.0195422	0.000695445	0.00111074	3.55588e-05	2.22816e-06	1.94415e-07	6.35174e-08	3.84904e-10	1.55733e-11	4.10662e-12
470	-202.262	-183.3551	-18.90688	0.00123572	0.00111936	0.0010731	0.000985382	0.0011109	0.00103636	0.000606914	0.00072874	0.000582867	0.000535439	0.000579113
480	-206.9129	-180.0211	-26.89176	0.0039389	0.00214886	0.0035554	0.00466163	0.00327732	0.00252068	0.00290855	0.00275439	0.00177006	0.00195804	0.0025974
490	-228.9936	-182.5543	-46.43935	0.0102045	0.00230119	0.000103109	0.00890526	8.72204e-05	3.37153e-05	7.11632e-05	0.000268615	0.00638687	0.00184134	0.0159679
500	-213.8231	-178.7127	-35.11035	5.96892e-05	6.28545e-05	0.000498767	0.000143333	7.98243e-05	2.62716e-05	3.72809e-05	9.93028e-05	5.08896e-05	2.65861e-05	1.97688e-05
510	-205.8946	-179.173	-26.72161	4.6681e-05	5.30341e-05	2.89714e-05	2.70012e-05	1.73351e-05	1.54119e-05	1.27572e-05	1.14078e-05	1.02328e-05	9.87697e-06	9.96726e-06
520	-187.4045	-178.2766	-9.127879	6.77664e-05	7.17852e-05	7.15779e-05	7.36439e-05	7.32159e-05	6.91543e-05	5.93426e-05	5.90773e-05	6.40971e-05	6.32572e-05	6.99678e-05
530	-201.2158	-178.1749	-23.04093	0.000205566	0.000233618	0.00020493	0.000172887	0.000180098	0.000143574	0.00013183	0.000106758	0.000126804	0.000102519	0.000185884
540	-214.8699	-180.7167	-34.15317	7.31644e-05	0.000100618	4.19079e-05	5.54944e-05	2.64995e-05	5.97995e-05	2.49587e-05	3.94148e-05	6.78813e-05	1.82919e-05	5.72995e-05
550	-204.2368	-180.408	-23.82881	0.000105518	0.000171175	0.000257944	0.000554298	0.000777068	0.000874507	0.000724309	0.000572955	0.000257935	0.000327871	0.000472614
560	-190.5915	-179.578	-11.0135	0.00202361	0.00187928	0.00186019	0.00205795	0.00238026	0.00207919	0.00235909	0.00226166	0.00228581	0.00210685	0.00173908
570	-211.7766	-180.6319	-31.14462	0.00287583	0.00237049	0.00269204	0.000876076	0.0021863	0.00495505	0.005953	0.00662541	0.00340689	0.00237926	0.00247154
580	-202.2489	-180.0251	-22.22383	0.00116783	0.00073694	0.000904272	0.000935784	0.00114135	0.00108935	0.0014018	0.00104419	0.000667429	0.000649525	0.000622257
590	-212.5481	-178.9332	-33.61481	0.000157361	8.9688e-05	0.000166808	0.000147888	6.87929e-05	8.37776e-05	9.10884e-05	8.52874e-05	2.53936e-05	2.86501e-05	1.82131e-05
600	-220.5875	-178.7888	-41.79871	0.00049109	0.000126632	0.000153698	0.000149563	1.41988e-05	8.69307e-07	2.44554e-06	4.56143e-06	6.25579e-07	2.41768e-07	7.5847e-08
610	-218.8362	-178.5808	-40.25538	0.000262692	0.000365606	0.000429304	0.000810088	3.85647e-05	0.000132461	3.98956e-05	1.74351e-05	3.00321e-05	5.8126e-05	1.86027e-05
620	-218.7102	-178.9903	-39.71991	0.000165463	0.000187038	7.77838e-05	3.95803e-05	6.57077e-05	9.94708e-05	2.32848e-05	1.47186e-05	2.2273e-06	4.19404e-07	4.14879e-06
630	-206.7823	-181.5203	-25.26203	0.000369098	0.000495247	0.000351984	0.000462888	0.000421573	0.00023991	0.000166799	0.000383721	0.000333315	0.00038959	0.000198552
640	-217.8178	-183.6932	-34.12459	0.00317603	0.00263327	0.00152261	0.00244792	0.00767089	0.00655335	0.000627963	0.00149274	0.00158344	0.00346304	0.001119
650	-206.2377	-180.4873	-25.75044	0.0108337	0.00823441	0.0109982	0.0165258	0.0273646	0.020966	0.022611	0.0267566	0.0233877	0.032109	0.0224829
660	-205.3789	-183.5586	-21.82029	0.000139726	0.000119241	0.000133726	0.000135424	0.000141798	9.42941e-05	0.000146864	0.0001671	0.000212817	0.000341896	0.000355308
