Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
100	-211.4563	-163.0479	-48.40841	0.00213649	0.000398755	0.021588	0.0218031	0.193803	0.320181	0.697919	0.899645	6.43042	1.59601	0.349036	2.035422	-6.14859	-7.82716	-3.83562	-3.8257	-1.64091	-1.13887	-0.359652	-0.105755	1.86104	0.467506	-1.05258	-9.7663	-8.03765	-7.5991	-7.42275	-4.71547	-2.2983	-0.392701	0.290825	1.63144	0.649471	-0.414679	5.73519e-05	0.000323067	0.000500904	0.000597502	0.00895567	0.100429	0.675231	1.33753	5.11121	1.91453	0.660552	1.435909
110	-207.9478	-159.9443	-48.00346	0.0131552	0.00584603	0.00892232	0.0441733	0.249933	0.28842	0.566013	0.759557	5.11361	1.88778	0.233322	1.149762	-4.33094	-5.14199	-4.7192	-3.11963	-1.38656	-1.24334	-0.569139	-0.275019	1.63191	0.6354	-1.45534	-8.89129	-12.2161	-10.5825	-7.90508	-5.1812	-2.57432	-0.445826	0.152083	1.58171	0.124418	-0.467708	0.000137582	4.95014e-06	2.53571e-05	0.000368866	0.00562126	0.0762058	0.640295	1.16426	4.86324	1.13249	0.626437	2.416495
120	-214.5016	-160.8379	-53.66372	0.00142975	0.000469107	0.0720702	0.0201032	0.195277	0.370427	0.830784	0.780583	5.66806	2.38795	0.164126	1.926811	-6.55025	-7.66468	-2.63011	-3.90687	-1.63334	-0.9931	-0.185386	-0.247714	1.73485	0.870434	-1.80712	-8.16469	-7.6809	-6.86954	-9.06306	-5.17326	-2.3895	-0.301249	0.372324	1.57594	-0.279563	0.0216996	0.000284524	0.000461561	0.00103895	0.000115868	0.00566609	0.0916753	0.739893	1.4511	4.83529	0.756114	1.02194	2.435539
130	-215.892	-158.8122	-57.07981	5.01414e-05	0.00075573	0.000419076	0.00878487	0.252555	0.382456	1.01253	0.952333	6.43734	2.52302	0.0170814	2.855776	-9.90066	-7.18783	-7.77746	-4.73472	-1.37613	-0.961141	0.0124481	-0.0488404	1.86212	0.925456	-4.06977	-8.79354	-9.82709	-11.4462	-9.12814	-3.73857	-2.20629	-0.0226593	0.345017	1.67538	-0.843377	0.299401	0.00015171	5.39694e-05	1.06898e-05	0.000108568	0.0237881	0.110109	0.977596	1.41201	5.34081	0.430255	1.34905	2.038273
140	-210.6432	-158.9358	-51.70745	0.000228416	0.00681294	0.0230135	0.0287198	0.270696	0.38007	0.870509	0.891188	6.13458	2.37422	0.050471	1.721531	-8.38434	-4.98893	-3.77168	-3.55017	-1.30676	-0.9674	-0.138678	-0.1152	1.81394	0.864669	-2.98636	-9.17487	-10.5845	-9.73907	-8.30431	-4.97223	-2.70243	-0.008166	0.330018	1.75725	-0.747463	0.0301353	0.00010361	2.53056e-05	5.89354e-05	0.000247448	0.00692771	0.0670424	0.991867	1.39099	5.79648	0.473567	1.03059	2.079397
150	-210.6141	-158.5138	-52.10038	0.00104461	0.00108473	0.0116615	0.0338945	0.209967	0.52532	0.997753	0.751053	7.04952	2.02308	0.0506262	2.209933	-6.86411	-6.82643	-4.45147	-3.3845	-1.5608	-0.643747	-0.00224972	-0.286279	1.95296	0.70462	-2.98329	-7.64539	-6.86664	-9.43588	-6.87844	-4.44743	-1.78321	0.11357	0.139325	1.85149	-1.01532	0.140341	0.000478245	0.00104197	7.98082e-05	0.00102975	0.0117086	0.168098	1.12027	1.1495	6.36933	0.362287	1.15067	2.079472
160	-207.1926	-160.351	-46.84159	0.00187458	0.00119762	0.0187773	0.151612	0.0850224	0.496158	1.05727	0.807714	6.76457	2.23475	0.213088	1.837158	-6.27937	-6.72742	-3.97511	-1.88643	-2.46484	-0.700861	0.0556931	-0.213547	1.9117	0.804128	-1.54605	-7.1861	-7.11488	-5.80444	-5.28486	-2.64389	-1.85762	-0.0502204	0.323248	1.89225	-0.675878	-0.0926348	0.000757038	0.000812918	0.00301413	0.00506774	0.0710839	0.156043	0.95102	1.38161	6.63429	0.50871	0.911526	1.421943
170	-213.4216	-161.2329	-52.1887	0.00223569	0.000468689	0.00501257	0.187004	0.0613674	0.367783	0.845186	0.682094	6.28136	0.761577	0.200393	1.547391	-6.10321	-7.66557	-5.29581	-1.67662	-2.79088	-1.00026	-0.168198	-0.382588	1.83759	-0.272364	-1.60747	-5.64369	-6.56028	-7.46682	-5.12948	-3.00769	-2.07202	-0.842069	0.411488	1.69263	-2.44562	-0.109474	0.0035398	0.00141549	0.000571743	0.00591965	0.0494059	0.125931	0.430818	1.50906	5.43375	0.0866721	0.896305	2.126786
180	-202.5313	-157.9925	-44.53875	0.00174062	0.0101813	0.0187623	0.0898791	0.133162	0.259097	0.55899	0.519398	4.08606	0.909685	0.223658	1.134177	-6.35352	-4.58721	-3.97591	-2.40929	-2.01619	-1.35055	-0.581624	-0.655085	1.40758	-0.0946573	-1.49764	-8.43204	-7.65868	-7.42397	-6.86773	-4.19686	-3.42429	-0.930778	0.150824	1.32911	-1.59607	-0.357203	0.000217777	0.000471928	0.000596776	0.00104083	0.0150427	0.0325722	0.394247	1.16279	3.77769	0.202692	0.69963	1.631077
190	-205.3846	-159.6146	-45.77007	0.00314256	0.0374156	0.0135862	0.027343	0.0643817	0.220608	0.541919	0.46638	3.6256	0.606224	0.193818	1.217756	-5.76272	-3.28567	-4.2987	-3.59929	-2.74293	-1.51137	-0.61264	-0.762754	1.28802	-0.500506	-1.64083	-8.91313	-9.30848	-9.20657	-6.47563	-4.52431	-2.99016	-1.02492	-0.0397711	0.935258	-1.54835	-0.299599	0.00013461	9.06524e-05	0.000100378	0.00154053	0.0108422	0.0502794	0.358825	0.961009	2.54787	0.212599	0.741116	1.636769
