Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
380	-204.0468	-163.5734	-40.47337	0.0193229	0.0155172	0.0528263	0.0424896	0.188421	0.0946298	0.129057	0.618654	1.5478	0.294867	0.406151
390	-204.3081	-162.7703	-41.53779	0.0127205	0.00368728	0.00526996	0.0195358	0.0504813	0.112641	0.0866056	0.496307	0.811188	0.355551	0.363066
400	-203.8741	-163.2937	-40.58042	0.00604241	0.00511893	0.00489662	0.0301158	0.0456107	0.0710642	0.123308	0.503542	0.542469	0.205465	0.457016
410	-207.5247	-165.4635	-42.06126	0.00222561	0.00234721	0.00409477	0.00768974	0.0594276	0.0794227	0.0619165	0.360223	0.249779	0.0639613	0.100689
420	-214.9906	-166.6526	-48.33808	0.0246273	0.0161154	0.0292677	0.0836568	0.24295	0.134193	0.0791747	0.310829	0.595513	0.391417	0.280977
430	-201.3828	-164.3229	-37.05987	0.0137948	0.0140328	0.0299488	0.0763828	0.0929342	0.0936268	0.107974	0.469409	0.36834	0.175058	0.226798
440	-206.8321	-166.926	-39.90612	0.00554718	0.00637436	0.00347919	0.00773696	0.116212	0.114021	0.182696	0.617066	0.332651	0.168631	0.429626
450	-202.8731	-166.3429	-36.53019	0.00751266	0.00979082	0.0222073	0.0636205	0.0816463	0.0869265	0.182807	0.442164	0.305585	0.133137	0.654403
460	-207.3808	-177.7541	-29.62669	0.00645548	0.0177098	0.0242141	0.0140363	0.0391801	0.0344165	0.215871	0.266211	0.301072	0.236345	0.268355
470	-197.6174	-168.7428	-28.87462	0.000498257	0.00035503	0.00283879	0.00787315	0.0145092	0.0528293	0.0543301	0.314603	0.249118	0.0507219	0.0655997
480	-187.204	-170.6919	-16.51209	0.0105927	0.00210952	0.00499988	0.0154438	0.0524073	0.0694457	0.159228	0.589698	0.205179	0.0359756	0.0949333
490	-194.3358	-168.7693	-25.56649	0.00284338	0.00674281	0.00665255	0.00836188	0.0353324	0.293253	0.12854	0.654177	0.354955	0.118061	0.271776
500	-197.0269	-167.3838	-29.6431	0.00425826	0.0181796	0.0181748	0.0269415	0.0295138	0.0801892	0.183391	0.573117	0.367159	0.0563526	0.140538
510	-197.5974	-168.5249	-29.07258	0.00506426	0.00887678	0.0176447	0.0304141	0.179845	0.083306	0.310247	0.560947	0.480875	0.245986	0.139564
520	-201.5436	-164.7491	-36.79451	0.0145931	0.000805161	0.00334926	0.00308168	0.115614	0.202748	0.226192	0.752156	0.548624	0.164553	0.233755
530	-205.8722	-159.7612	-46.11094	0.00186264	0.000433462	0.000240619	0.00067508	0.00965204	0.325938	0.2009	0.779923	0.850282	0.276815	0.506371
540	-205.1544	-164.2447	-40.90979	0.00772327	0.00407678	0.00468406	0.0992221	0.0166664	0.230554	0.211499	0.773332	0.451918	0.252972	0.196909
550	-202.4889	-162.0912	-40.39777	0.00104997	0.00121927	0.00568959	0.0182099	0.0712399	0.0711674	0.199525	0.650079	0.553137	0.111794	0.23603
560	-204.119	-161.2469	-42.87209	0.000448643	0.000521348	0.0018796	0.0213063	0.0860071	0.0793157	0.191894	1.08723	0.801575	1.37808	0.482032
570	-202.6639	-160.1791	-42.48481	0.00297771	0.000823202	0.00200916	0.00645028	0.0412595	0.106646	0.28735	1.06502	0.993025	1.38867	0.358786
580	-196.1672	-158.8454	-37.3218	0.00329307	0.00174886	0.00948085	0.0202256	0.04473	0.128675	0.403593	1.13206	1.14278	1.18306	0.526068
590	-210.4066	-162.2035	-48.20302	9.76117e-05	0.00693045	0.00425043	0.00359645	0.0461841	0.251313	0.730414	1.4299	1.22888	1.01608	0.525191
600	-212.2496	-159.4596	-52.79	0.000144638	0.00114185	0.0127824	0.00936974	0.0151647	0.249501	0.672469	1.49841	1.58351	0.634108	0.826691
610	-208.6595	-158.2938	-50.36567	0.00117633	0.00202702	0.0167953	0.00414453	0.0880776	0.196883	0.570101	1.11794	1.15424	0.739907	0.417002
620	-204.6299	-160.0383	-44.59162	0.00080232	0.00364746	0.00628115	0.064613	0.0516539	0.0928019	0.32913	0.99333	0.792817	0.233314	0.353746
630	-204.1762	-165.0822	-39.09394	0.0153692	0.0224402	0.0293035	0.0203274	0.113502	0.20633	0.248983	0.926232	1.19773	0.723668	0.278101
640	-202.0482	-158.0454	-44.00283	0.000944441	0.00297935	0.0164521	0.0123726	0.0993916	0.137795	0.245635	0.609978	0.991907	0.24589	0.184692
650	-202.6091	-158.9613	-43.64778	0.00210372	0.00373141	0.00826552	0.030023	0.214122	0.240968	0.221966	0.436649	0.89016	0.716582	0.619849
660	-199.5174	-162.3462	-37.17129	0.0038442	0.00658506	0.00897877	0.0312404	0.128323	0.397173	0.196514	0.497998	0.834131	0.418498	0.397014
670	-191.6699	-160.4917	-31.17819	0.00480024	0.0109382	0.0453232	0.0909028	0.250853	0.228706	0.22974	0.577832	1.12105	0.689971	0.720652
680	-201.6491	-163.1312	-38.51787	0.0182222	0.0644524	0.17838	0.0770564	0.136825	0.159333	0.138701	0.642416	0.771881	0.67124	0.833745
690	-197.358	-160.5507	-36.80731	0.00232861	0.00160094	0.00647816	0.012392	0.0781436	0.0904345	0.139687	0.532034	0.637603	0.31841	0.364663
700	-204.057	-164.9572	-39.09979	0.00205361	0.00906364	0.00935283	0.025205	0.0274332	0.0966256	0.103393	0.368054	0.490433	0.952747	0.834351
710	-205.1472	-160.0795	-45.06766	0.000568861	0.00301013	0.0122206	0.0321419	0.0465348	0.0341672	0.0449569	0.541246	1.07961	1.60593	1.27833
720	-208.7938	-162.846	-45.9478	0.00014884	0.00102328	0.0133438	0.00683077	0.0435359	0.093908	0.0412567	0.416492	1.1656	1.00968	0.949772
730	-209.3224	-160.6225	-48.69996	0.000137187	9.81814e-05	0.00959035	0.00533751	0.0582618	0.0838275	0.0367121	0.641662	1.48588	0.382562	0.832021
740	-207.0343	-162.6076	-44.42672	0.000520039	0.000818205	0.00119649	0.0116442	0.0432281	0.0271429	0.0591706	0.565853	1.2825	0.132758	0.719737
750	-207.88	-158.3027	-49.57726	0.000194769	0.00103112	0.0132669	0.026367	0.102576	0.0546759	0.0925551	0.53986	1.4454	0.50632	0.453358
760	-210.7541	-160.7632	-49.9909	0.00345709	0.00170194	0.00102193	0.00656872	0.0910402	0.187798	0.0367538	0.413706	1.03952	0.229296	0.457046
770	-210.4931	-164.5332	-45.95986	0.000955615	0.00130265	0.00416928	0.0295576	0.0323258	0.19486	0.0600451	0.707902	0.811099	0.925208	0.791586
780	-206.6448	-161.0163	-45.62852	0.0014668	0.00483554	0.0579423	0.112637	0.182091	0.137342	0.122706	0.902791	1.44586	2.48638	1.10059
790	-211.9227	-162.0178	-49.90488	0.00115043	0.0239503	0.0446313	0.00648693	0.168305	0.0997555	0.0946949	0.742359	1.50975	2.08554	1.02504
800	-203.6477	-159.3663	-44.28136	0.004451	0.0319251	0.0180869	0.0586353	0.297501	0.0491019	0.22814	0.68349	2.40926	3.14894	1.27387
810	-205.6392	-156.5698	-49.06938	0.000841698	0.00214398	0.0169212	0.104961	0.200322	0.17	0.360348	0.573243	2.94066	3.58697	1.37178
