Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
390	-204.3081	-162.7703	-41.53779	0.494311	0.0476663	0.00808842	0.0446824	0.0143581	0.00335042	0.0204351	0.136451	0.811364	0.770753	0.153578
400	-203.8741	-163.2937	-40.58042	0.441433	0.0447366	0.00803762	0.0515625	0.0308344	0.00667776	0.0348966	0.113541	0.538211	0.79076	0.144803
410	-207.5247	-165.4635	-42.06126	0.321327	0.0208649	0.0268651	0.0179323	0.00610796	0.00433242	0.0325113	0.0353053	0.0899895	0.44372	0.0243161
420	-214.9906	-166.6526	-48.33808	0.495991	0.0276151	0.160757	0.104152	0.0138595	0.00131772	0.028244	0.00294429	0.185324	1.61635	0.00870768
430	-201.3828	-164.3229	-37.05987	0.48014	0.0465708	0.0833462	0.105753	0.00699504	0.00480506	0.0229092	0.0493014	0.561312	0.379464	0.0736799
440	-206.8321	-166.926	-39.90612	0.243093	0.373298	0.152489	0.0307597	0.0121099	0.00648013	0.0276334	0.125345	0.486074	0.586174	0.232732
450	-202.8731	-166.3429	-36.53019	0.0921072	0.48162	0.0720042	0.0783371	0.0151807	0.0120714	0.0191306	0.0405092	0.25214	0.600754	0.509539
460	-207.3808	-177.7541	-29.62669	0.113424	0.203699	0.0802323	0.0228907	0.0281333	0.0231787	0.0207168	0.0394434	0.0850133	0.147909	0.164998
470	-197.6174	-168.7428	-28.87462	0.0503572	0.0479171	0.0298441	0.0450283	0.0326117	0.0439199	0.0793854	0.0717071	0.0425487	0.0894161	0.110951
480	-187.204	-170.6919	-16.51209	0.0906052	0.0877263	0.0833464	0.0773241	0.0865388	0.0957145	0.107762	0.10118	0.0896093	0.0695598	0.0726923
490	-194.3358	-168.7693	-25.56649	0.208033	0.177725	0.169937	0.081276	0.106192	0.0927668	0.108906	0.141384	0.156391	0.208656	0.220543
500	-197.0269	-167.3838	-29.6431	0.135839	0.0569249	0.0429395	0.0868091	0.126494	0.11224	0.12917	0.182326	0.247976	0.244033	0.112673
510	-197.5974	-168.5249	-29.07258	0.177824	0.0918586	0.0607154	0.123422	0.191032	0.168545	0.20058	0.156069	0.209487	0.280725	0.26692
520	-201.5436	-164.7491	-36.79451	0.0561567	0.0688719	0.0745236	0.142454	0.165334	0.325948	0.23229	0.217405	0.271855	0.386686	0.130734
530	-205.8722	-159.7612	-46.11094	0.219013	0.156333	0.0448519	0.0264355	0.0653961	0.312101	0.286465	0.183256	1.03537	1.08357	0.0574928
540	-205.1544	-164.2447	-40.90979	0.335081	0.0709609	0.0231991	0.0369243	0.0844438	0.172721	0.404287	0.0961914	0.315606	0.464187	0.190802
550	-202.4889	-162.0912	-40.39777	0.119813	0.0305336	0.0362697	0.0458525	0.0394569	0.092298	0.456803	0.0973382	0.309475	0.523164	0.0296497
560	-204.119	-161.2469	-42.87209	0.0322744	0.048349	0.0800103	0.0884496	0.0782914	0.125686	0.591622	0.282131	0.741882	2.21026	0.0926362
570	-202.6639	-160.1791	-42.48481	0.204145	0.0266039	0.0148055	0.0418031	0.0672352	0.127186	0.580099	0.433332	1.15851	1.54077	0.0919093
580	-196.1672	-158.8454	-37.3218	0.23919	0.0459331	0.06351	0.0410014	0.0919721	0.113849	0.557338	0.563852	1.4113	1.63879	0.195722
590	-210.4066	-162.2035	-48.20302	0.321172	0.0206391	0.0111513	0.00874064	0.0144343	0.300494	1.00467	0.625295	1.15802	1.84724	0.221483
600	-212.2496	-159.4596	-52.79	0.393974	0.00495466	0.00476249	0.00080101	0.0105342	0.207821	1.09361	0.681545	2.15623	1.70238	0.0646914
610	-208.6595	-158.2938	-50.36567	0.36721	0.0135465	0.00524528	0.00295674	0.129376	0.116688	0.961228	0.388401	1.5707	1.30327	0.0296416
620	-204.6299	-160.0383	-44.59162	0.327075	0.0932218	0.0798221	0.00498951	0.0167034	0.0661193	0.722332	0.222163	0.906842	0.741332	0.0453091
630	-204.1762	-165.0822	-39.09394	0.135	0.230026	0.0826965	0.014764	0.0206992	0.0731872	0.642927	0.234955	1.19817	0.798886	0.132215
640	-202.0482	-158.0454	-44.00283	0.239853	0.0993834	0.0410936	0.00488285	0.0718773	0.108421	0.444281	0.0740566	1.05594	0.380331	0.0852939
650	-202.6091	-158.9613	-43.64778	0.066708	0.331801	0.118663	0.0302902	0.0562267	0.214186	0.181456	0.0294164	0.839503	2.05208	0.0947792
660	-199.5174	-162.3462	-37.17129	0.239808	0.265203	0.170048	0.0285943	0.128124	0.215479	0.115984	0.110608	0.597415	1.15099	0.096669
670	-191.6699	-160.4917	-31.17819	0.200377	0.12817	0.177859	0.118283	0.153469	0.264808	0.127031	0.168157	1.3554	0.909086	0.55671
