Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]	interval_times[10]
450	-202.8731	-166.3429	-36.53019	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
460	-207.3808	-177.7541	-29.62669	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
470	-197.6174	-168.7428	-28.87462	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
480	-187.204	-170.6919	-16.51209	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
490	-194.3358	-168.7693	-25.56649	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
500	-197.0269	-167.3838	-29.6431	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
510	-197.5974	-168.5249	-29.07258	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
520	-201.5436	-164.7491	-36.79451	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
530	-205.8722	-159.7612	-46.11094	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
540	-205.1544	-164.2447	-40.90979	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
550	-202.4889	-162.0912	-40.39777	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
560	-204.119	-161.2469	-42.87209	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
570	-202.6639	-160.1791	-42.48481	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
580	-196.1672	-158.8454	-37.3218	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
590	-210.4066	-162.2035	-48.20302	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
600	-212.2496	-159.4596	-52.79	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
610	-208.6595	-158.2938	-50.36567	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
620	-204.6299	-160.0383	-44.59162	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
630	-204.1762	-165.0822	-39.09394	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
640	-202.0482	-158.0454	-44.00283	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
650	-202.6091	-158.9613	-43.64778	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
660	-199.5174	-162.3462	-37.17129	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
670	-191.6699	-160.4917	-31.17819	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
680	-201.6491	-163.1312	-38.51787	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
690	-197.358	-160.5507	-36.80731	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
700	-204.057	-164.9572	-39.09979	7.96811	15.9362	23.9043	31.8725	39.8406	47.8087	55.7768	63.7449	71.713	79.6811
