Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
100	-209.6591	-173.5619	-36.09717	0.0836276	0.0723466	0.0324955	0.0123147	0.0130047	0.00838243	0.0134968	0.00631668	0.00527306	0.00565031	0.00267235	0.6024536	-2.48138	-2.62629	-3.42665	-4.39696	-4.34245	-4.78162	-4.3053	-5.06456	-5.24514	-5.17604	-5.9248	-7.14758	-6.85365	-8.61461	-6.5079	-4.37678	-2.93229	-4.00297	-1.43043	-1.79554	-2.27244	-2.6163	0.000786764	0.0010556	0.000181436	0.00149161	0.0125658	0.0532747	0.0182614	0.239207	0.166038	0.10306	0.0730726	2.012384
110	-203.1481	-170.9472	-32.20094	0.0846872	0.145954	0.117531	0.0595381	0.046323	0.046072	0.031335	0.0136038	0.0113721	0.0108287	0.00600929	0.4458157	-2.46879	-1.92446	-2.14105	-2.82114	-3.07212	-3.07755	-3.46302	-4.2974	-4.47659	-4.52556	-5.11445	-5.20428	-5.41878	-5.62882	-3.14555	-2.84933	-3.49477	-3.08191	-0.939779	-1.87255	-4.48124	-3.33874	0.00549303	0.00443255	0.0035928	0.0430432	0.0578829	0.0303556	0.0458716	0.390714	0.153731	0.0113194	0.0354818	1.547061
120	-206.0999	-167.4691	-38.63078	0.154064	0.293031	0.109973	0.247705	0.153424	0.130086	0.0909667	0.0726229	0.0206647	0.0160882	0.0308046	1.293251	-1.87039	-1.22748	-2.20752	-1.39552	-1.87455	-2.03956	-2.39726	-2.62247	-3.87933	-4.12967	-3.48009	-6.99221	-5.54471	-4.08895	-1.68689	-1.41792	-2.60071	-1.49027	-0.60352	-1.18551	-2.83073	-3.73416	0.000919015	0.00390806	0.0167569	0.185095	0.242217	0.0742206	0.225312	0.546883	0.30559	0.0589701	0.0238931	1.20351
130	-201.7163	-166.4146	-35.30169	0.177696	0.100149	0.0624423	0.145315	0.113736	0.158321	0.104271	0.0740701	0.0556368	0.0339175	0.0498961	0.4811037	-1.72768	-2.30109	-2.77351	-1.92885	-2.17387	-1.84313	-2.26077	-2.60274	-2.88891	-3.38382	-2.99781	-5.54819	-5.83336	-6.99007	-3.88073	-1.43573	-3.19979	-1.62458	-0.709139	-1.57976	-3.09253	-2.52705	0.00389449	0.00292821	0.000920979	0.0206358	0.237941	0.0407707	0.196995	0.492068	0.206024	0.0453868	0.0798944	1.114684
140	-201.298	-167.7297	-33.56834	0.172675	0.113938	0.0997075	0.104618	0.107435	0.0580912	0.0382455	0.0483633	0.0615414	0.0318488	0.0329996	0.469021	-1.75635	-2.1721	-2.30551	-2.25744	-2.23086	-2.84574	-3.26373	-3.02901	-2.78804	-3.44676	-3.41126	-6.02301	-4.5947	-6.52242	-5.46093	-1.33891	-2.69705	-2.24242	-1.11745	-1.13973	-3.23034	-2.28345	0.00242236	0.0101053	0.00147011	0.0042496	0.26213	0.0674041	0.106202	0.327114	0.319907	0.0395439	0.101932	2.167309
150	-209.2879	-165.9042	-43.38366	0.30963	0.127605	0.104837	0.268121	0.0859701	0.150598	0.12152	0.048137	0.0302694	0.0327734	0.0135767	0.8922992	-1.17238	-2.05881	-2.25535	-1.31632	-2.45376	-1.89314	-2.10768	-3.03371	-3.49762	-3.41814	-4.2994	-7.43418	-6.45063	-4.16393	-5.95169	-0.69832	-1.9321	-2.38313	-0.577799	-1.5584	-2.41078	-4.6002	0.000590713	0.00157953	0.0155463	0.00260143	0.49742	0.144844	0.0922609	0.561132	0.210472	0.0897451	0.0100498	2.712929
160	-195.7956	-164.6869	-31.10868	0.316221	0.213114	0.150377	0.178126	0.162629	0.169085	0.123131	0.125567	0.125156	0.190412	0.171323	0.1969824	-1.15131	-1.54593	-1.89461	-1.72526	-1.81628	-1.77735	-2.09451	-2.07492	-2.0782	-1.65856	-1.7642	-7.30286	-4.3213	-5.60286	-4.01331	-0.571329	-2.01318	-1.7736	-0.415334	-1.06376	-2.72847	-2.2015	0.00067361	0.0132826	0.0036873	0.0180736	0.564774	0.133563	0.169721	0.660119	0.345156	0.065319	0.110637	2.749795
170	-180.6676	-164.5409	-16.1267	0.211337	0.208108	0.195885	0.189411	0.180244	0.188079	0.192393	0.169384	0.181551	0.18176	0.180614	0.06538446	-1.5543	-1.5697	-1.63023	-1.66383	-1.71345	-1.67089	-1.64822	-1.77559	-1.70622	-1.70507	-1.71139	-5.56389	-8.09633	-5.63682	-2.45423	-0.528861	-1.79295	-2.22771	-0.407192	-0.997502	-4.22969	-2.22551	0.00383384	0.000304656	0.00356419	0.0859295	0.589276	0.166469	0.107775	0.665517	0.3688	0.014557	0.108012	2.49656
180	-170.1103	-168.7209	-1.389375	0.228648	0.229542	0.225709	0.217168	0.223174	0.220419	0.220516	0.224797	0.218394	0.21329	0.214988	0.01860973	-1.47557	-1.47167	-1.48851	-1.52708	-1.4998	-1.51223	-1.51179	-1.49256	-1.52145	-1.5451	-1.53717	-4.37845	-4.85424	-5.0175	-2.762	-0.581018	-1.30988	-2.47309	-0.13271	-1.54889	-2.41566	-1.16499	0.0125448	0.00779529	0.00662104	0.063165	0.559329	0.269851	0.0843238	0.875719	0.212484	0.0893086	0.311925	1.349744
190	-187.0301	-169.7502	-17.27987	0.237927	0.240153	0.268522	0.22359	0.205905	0.175539	0.210238	0.217628	0.181639	0.159074	0.165755	0.1531618	-1.43579	-1.42648	-1.31482	-1.49794	-1.58034	-1.7399	-1.55952	-1.52497	-1.70574	-1.83839	-1.79724	-5.16223	-3.42863	-3.18569	-1.8311	-0.539556	-1.37548	-2.35717	-0.374253	-1.45326	-1.35072	-2.23245	0.0057289	0.0324312	0.0413498	0.160237	0.583007	0.252718	0.0946878	0.687803	0.233808	0.259053	0.107265	1.011651
