Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]	interval_times[10]
440	-215.0016	-166.2028	-48.7988	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
450	-220.0654	-168.0866	-51.97887	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
460	-220.0544	-167.1544	-52.90006	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
470	-219.7503	-165.7582	-53.9921	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
480	-212.4695	-166.4667	-46.00276	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
490	-221.4124	-166.6083	-54.80409	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
500	-223.7801	-169.1641	-54.616	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
510	-224.5723	-166.8814	-57.69086	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
520	-215.2095	-166.7059	-48.50363	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
530	-213.9185	-167.2455	-46.67298	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
540	-202.0631	-170.1727	-31.89045	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
550	-184.5576	-170.1435	-14.41412	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
560	-196.0126	-169.3651	-26.64748	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
570	-189.4095	-171.4285	-17.98102	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
580	-195.9234	-168.9992	-26.92425	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
590	-201.2078	-163.218	-37.98983	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
600	-209.7068	-170.2794	-39.4274	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
610	-205.1143	-166.3731	-38.74122	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
620	-200.6773	-166.5477	-34.12958	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
630	-178.5513	-174.1116	-4.439669	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
640	-201.8122	-165.6444	-36.16779	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
650	-167.3135	-171.0952	3.781634	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
660	-170.677	-170.9454	0.268346	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
670	-199.0739	-166.5525	-32.52141	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
680	-199.1979	-165.4092	-33.78868	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
690	-197.3742	-170.2095	-27.16467	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
700	-200.7681	-170.8823	-29.88577	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
710	-211.6387	-171.7459	-39.89274	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
720	-198.2647	-171.117	-27.14767	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
730	-194.9254	-169.0515	-25.87391	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
740	-197.6889	-168.9009	-28.78797	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
750	-201.7251	-169.9839	-31.74126	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
760	-211.3282	-169.7192	-41.60897	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
770	-208.6438	-173.896	-34.74782	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
780	-199.1531	-170.313	-28.84009	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
790	-203.4245	-170.0331	-33.39137	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
800	-188.6072	-169.5297	-19.07752	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
810	-188.2769	-170.0884	-18.18848	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
820	-212.3308	-171.3287	-41.0021	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
830	-237.985	-172.5976	-65.38736	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
840	-210.0195	-171.3873	-38.6322	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
850	-221.1793	-169.4571	-51.72221	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
860	-222.6088	-172.1254	-50.48343	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
870	-216.931	-167.7353	-49.19571	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
880	-222.1793	-173.068	-49.11136	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
890	-209.6263	-169.8224	-39.8039	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
900	-206.9273	-167.6582	-39.26905	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
910	-172.7182	-167.5878	-5.130426	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
920	-203.2518	-169.1406	-34.11129	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
930	-204.7785	-168.5739	-36.20465	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
940	-192.2942	-169.567	-22.72722	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
950	-206.2152	-170.176	-36.03925	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
960	-206.9692	-171.9159	-35.05333	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
970	-205.3846	-172.0727	-33.31184	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
980	-223.2763	-172.0557	-51.22065	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
990	-215.5442	-174.2938	-41.25037	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1000	-224.4338	-172.8408	-51.59298	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1010	-224.1856	-172.6995	-51.48612	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1020	-208.1286	-174.0733	-34.05532	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1030	-228.9761	-173.4653	-55.51082	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1040	-220.4265	-171.0555	-49.37102	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1050	-223.7878	-174.5168	-49.27101	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1060	-217.0793	-173.5785	-43.50087	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1070	-215.1398	-172.0793	-43.06053	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1080	-218.6609	-171.7217	-46.93918	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1090	-186.3155	-170.834	-15.48149	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1100	-209.8508	-174.6999	-35.15092	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
