Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
380	-207.0271	-167.607	-39.42017	0.00129338	0.0022859	0.000410252	0.000949079	0.0247598	0.136001	0.0714643	0.666791	0.214615	0.00247384	0.0837254
390	-183.3248	-167.286	-16.03872	0.000311453	0.00188391	0.00975711	0.0161418	0.0761724	0.0390327	0.0679523	0.478903	0.178835	0.0168128	0.0846967
400	-205.6032	-167.2235	-38.37964	0.000322424	0.000278755	0.00210336	0.00430791	0.0207626	0.0641816	0.0975421	0.418913	0.406359	0.0495453	0.043829
410	-191.7512	-166.9371	-24.81405	0.000315853	0.000107797	0.00320516	0.0193652	0.105861	0.0463159	0.0664439	0.379503	0.394387	0.0246911	0.113737
420	-209.1441	-165.3224	-43.82164	0.00120926	0.000187376	0.00085827	0.000995292	0.0610498	0.0419125	0.0649449	0.341242	0.541778	0.0869531	0.201996
430	-215.7879	-170.1774	-45.61044	4.61282e-05	0.000312434	0.000453068	0.000419821	0.00572981	0.0294834	0.0402712	0.220037	0.163896	0.0972547	0.263788
440	-215.0016	-166.2028	-48.7988	0.00070043	0.007489	0.00788544	0.00208802	0.0202147	0.0288293	0.0553149	0.275501	0.465337	0.102921	0.545981
450	-220.0654	-168.0866	-51.97887	0.00252577	0.000288289	0.00368203	0.00114471	0.0339444	0.0466052	0.0171884	0.278916	0.568822	0.0545274	0.448954
460	-220.0544	-167.1544	-52.90006	0.000529045	5.23856e-05	2.06902e-05	0.000822609	0.312318	0.0406252	0.131999	0.276997	0.216145	0.103923	0.130417
470	-219.7503	-165.7582	-53.9921	5.02316e-05	0.000348141	0.00626472	0.00416202	0.48029	0.0314772	0.230195	0.345175	0.389011	0.0442965	0.127052
480	-212.4695	-166.4667	-46.00276	0.00183731	0.00149411	0.00970815	0.0440345	0.57987	0.0520159	0.241411	0.455355	0.34992	0.0691396	0.222351
490	-221.4124	-166.6083	-54.80409	0.000155976	0.00391094	0.0551135	0.161257	0.521733	0.0200124	0.0979419	0.468068	0.181465	0.00470076	0.0156562
500	-223.7801	-169.1641	-54.616	8.22734e-05	0.000451097	0.0472542	0.157605	0.384122	0.0905773	0.0846803	0.380323	0.142753	0.00436296	0.098514
510	-224.5723	-166.8814	-57.69086	0.00149548	0.000291345	0.00334731	0.00415537	0.227982	0.0192662	0.046686	0.296313	0.528704	0.0880703	0.145
520	-215.2095	-166.7059	-48.50363	9.24166e-05	0.000140537	0.00285424	0.0152418	0.0582441	0.0445869	0.0517624	0.345975	0.197504	0.0331061	0.0831838
530	-213.9185	-167.2455	-46.67298	0.00112144	0.0047141	0.0319537	0.111708	0.101571	0.0861863	0.143567	0.493144	0.312652	0.0399745	0.0741661
540	-202.0631	-170.1727	-31.89045	0.0027806	0.00343061	0.00392795	0.0159031	0.0573227	0.0695797	0.0917946	0.349897	0.226226	0.111945	0.0852869
550	-184.5576	-170.1435	-14.41412	0.00162205	0.00108567	0.00690865	0.00692431	0.00943926	0.0244111	0.0827567	0.335523	0.239083	0.0702755	0.0557074
560	-196.0126	-169.3651	-26.64748	0.00674604	0.00746462	0.00894698	0.0289067	0.0702015	0.167179	0.0981894	0.371853	0.268693	0.0702574	0.0233468
570	-189.4095	-171.4285	-17.98102	0.00357569	0.0103703	0.0621478	0.0287213	0.0810164	0.0806261	0.175143	0.541971	0.218622	0.105942	0.0589048
580	-195.9234	-168.9992	-26.92425	0.00656737	0.0120436	0.00665464	0.0354033	0.0884577	0.161049	0.252505	0.611371	0.539746	0.166339	0.298564
590	-201.2078	-163.218	-37.98983	0.00491341	0.00573512	0.0169356	0.0243613	0.155585	0.047738	0.195984	0.441381	0.585228	0.099799	0.221116
600	-209.7068	-170.2794	-39.4274	0.000614812	0.00615008	0.00465941	0.00752137	0.035177	0.00628586	0.225213	0.637481	0.369824	0.0392128	0.0448786
610	-205.1143	-166.3731	-38.74122	0.00360664	0.00360726	0.00671976	0.0155747	0.04514	0.10595	0.321349	0.707261	0.274499	0.0994155	0.0660907
620	-200.6773	-166.5477	-34.12958	0.00232076	0.00176691	0.00678825	0.0133912	0.0586279	0.0946724	0.481107	0.688779	0.295702	0.316671	0.137673
630	-178.5513	-174.1116	-4.439669	0.0248355	0.0480575	0.0533138	0.11388	0.128365	0.0715305	0.346958	0.632487	0.385661	0.153222	0.184279
640	-201.8122	-165.6444	-36.16779	0.000162646	0.000268837	0.00252839	0.0775041	0.225725	0.239154	0.31721	0.707511	0.633673	0.0136449	0.109002
650	-167.3135	-171.0952	3.781634	0.00704562	0.0117715	0.011123	0.0100034	0.103144	0.35631	0.17208	0.644464	0.298739	0.10792	0.236082
660	-170.677	-170.9454	0.268346	0.00997337	0.0113734	0.0209304	0.0269229	0.131115	0.152769	0.170956	0.675628	0.257764	0.107647	0.0634302
670	-199.0739	-166.5525	-32.52141	0.00149651	0.00154314	0.0159658	0.0297994	0.199941	0.103699	0.137682	0.570573	0.172906	0.043284	0.0261123
680	-199.1979	-165.4092	-33.78868	0.000536944	0.000919146	0.00542385	0.217893	0.378085	0.162087	0.221381	0.445163	0.360563	0.0343299	0.0213035
690	-197.3742	-170.2095	-27.16467	0.00806504	0.0263534	0.0538502	0.245254	0.334942	0.133142	0.1695	0.714108	0.212079	0.132901	0.0386356
700	-200.7681	-170.8823	-29.88577	0.00380028	0.0147831	0.0643237	0.226604	0.29334	0.118234	0.179431	0.360651	0.368291	0.107524	0.0635103
710	-211.6387	-171.7459	-39.89274	0.000878888	0.0102813	0.0598196	0.157077	0.362349	0.0570589	0.259511	0.438417	0.258287	0.257702	0.04121
720	-198.2647	-171.117	-27.14767	0.00528695	0.017619	0.00854871	0.062563	0.135934	0.128787	0.060464	0.420011	0.130217	0.0531831	0.0689753
730	-194.9254	-169.0515	-25.87391	0.00260755	0.00144337	0.00369398	0.0110798	0.0701191	0.0721788	0.0555444	0.601568	0.358326	0.105144	0.0705792
740	-197.6889	-168.9009	-28.78797	8.51731e-05	0.000317494	0.000773561	0.00107976	0.0198047	0.0077193	0.041586	0.336913	0.183383	0.0170007	0.0960285
750	-201.7251	-169.9839	-31.74126	0.000148541	0.00265755	0.0025113	0.0030282	0.0620072	0.00846146	0.0210775	0.331364	0.397944	0.0396544	0.00453935
760	-211.3282	-169.7192	-41.60897	0.00277639	0.00241748	0.0124052	0.00712064	0.0271559	0.0430316	0.038246	0.346364	0.306032	0.0963314	0.0113481
770	-208.6438	-173.896	-34.74782	0.00734237	0.00356324	0.00341106	0.00928799	0.00842694	0.0156533	0.0331657	0.238993	0.173413	0.0481511	0.0221249
780	-199.1531	-170.313	-28.84009	0.000218745	0.00015441	0.000289147	0.00110773	0.00695715	0.0125498	0.0141615	0.296411	0.197309	0.00197142	0.00611796
790	-203.4245	-170.0331	-33.39137	0.00084517	0.0006566	0.00231744	0.00381312	0.0246317	0.00785963	0.049619	0.274348	0.150282	0.0049044	0.0571875
800	-188.6072	-169.5297	-19.07752	0.00100382	0.00092631	0.00216471	0.00969485	0.0361483	0.0433053	0.15345	0.302261	0.280922	0.0102608	0.0733575
810	-188.2769	-170.0884	-18.18848	0.000291856	6.00178e-05	3.99783e-05	0.000158877	0.0049551	0.00896708	0.0916966	0.496661	0.315782	0.0152969	0.0607327
820	-212.3308	-171.3287	-41.0021	7.63527e-05	0.000355556	0.00065323	0.00647395	0.00850149	0.0178664	0.00820124	0.118414	0.219465	0.0160695	0.00882942
830	-237.985	-172.5976	-65.38736	0.00235341	0.00394653	0.000291372	0.000190234	0.0047809	0.025138	0.00530952	0.134146	0.242913	0.00299172	0.00581815
840	-210.0195	-171.3873	-38.6322	0.00116707	0.000104664	0.000354875	0.000654628	0.0105447	0.00256811	0.0345967	0.111288	0.16858	0.0024098	0.0107875
850	-221.1793	-169.4571	-51.72221	0.000160869	0.000229465	0.00115471	0.00259642	0.0154369	0.014945	0.02836	0.304505	0.195588	0.030127	0.00567816
860	-222.6088	-172.1254	-50.48343	0.000525754	0.000161365	4.67374e-05	0.00128949	0.00349674	0.00114596	0.00675318	0.110254	0.25587	0.0246604	0.00320831
870	-216.931	-167.7353	-49.19571	0.000222731	8.54162e-05	0.000168796	0.00216896	0.0172521	0.0180273	0.0316822	0.184422	0.231308	0.00547605	0.0172958
880	-222.1793	-173.068	-49.11136	0.000178279	0.000502439	0.000347504	0.00370742	0.00592935	0.0154632	0.0219699	0.108287	0.115854	0.00725822	0.00795636
890	-209.6263	-169.8224	-39.8039	0.000233702	0.000206097	0.000801313	0.00367684	0.0159594	0.0052869	0.0170276	0.132721	0.179178	0.0227475	0.0208701
900	-206.9273	-167.6582	-39.26905	0.000206453	0.000359345	0.00198041	0.00383173	0.0444251	0.0132295	0.0308658	0.291119	0.320621	0.016518	0.00477519
