Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
380	-207.0271	-167.607	-39.42017	0.02585	0.0665971	0.0689591	0.0911161	0.110837	0.165691	0.178011	0.130033	0.0878041	0.108193	0.0607519
390	-183.3248	-167.286	-16.03872	0.0767306	0.0664528	0.0721028	0.0791534	0.0745386	0.0792769	0.0723114	0.0673018	0.0663216	0.0694322	0.0791203
400	-205.6032	-167.2235	-38.37964	0.0504708	0.0354171	0.0245755	0.0364811	0.0223335	0.0920475	0.244893	0.0558305	0.0616547	0.219354	0.064371
410	-191.7512	-166.9371	-24.81405	0.0704099	0.0867168	0.0799269	0.0836895	0.0618279	0.0572764	0.069612	0.0798103	0.084432	0.0721717	0.0558245
420	-209.1441	-165.3224	-43.82164	0.0204576	0.0269656	0.114742	0.0895848	0.0115575	0.0715258	0.0435672	0.0686183	0.274638	0.235578	0.131687
430	-215.7879	-170.1774	-45.61044	0.0172126	0.0227556	0.0845304	0.0532836	0.00305961	0.00217461	0.00790458	0.00575082	0.237427	0.337636	0.170618
440	-215.0016	-166.2028	-48.7988	0.000866113	0.00804662	0.0456543	0.207617	0.0258035	0.00220289	0.00103858	0.012168	0.431666	0.915123	0.216684
450	-220.0654	-168.0866	-51.97887	0.00779481	0.00339627	0.0907132	0.0541985	0.00599018	0.0125946	0.029558	0.0385114	0.246937	0.900334	0.137271
460	-220.0544	-167.1544	-52.90006	0.027481	0.177543	0.315515	0.0970947	0.0218267	0.0655406	0.0129939	0.0164467	0.0139438	0.297296	0.0337368
470	-219.7503	-165.7582	-53.9921	0.0173048	0.0726533	0.575356	0.210406	0.0127996	0.103985	0.00362013	0.0135421	0.108281	0.233876	0.187804
480	-212.4695	-166.4667	-46.00276	0.0433544	0.0929131	0.700765	0.208151	0.151912	0.0177636	0.0216064	0.0467864	0.245859	0.320758	0.0357079
490	-221.4124	-166.6083	-54.80409	0.143614	0.102417	0.652311	0.207686	0.0385104	0.039935	0.0054981	0.0304458	0.00713659	0.00295559	0.0104992
500	-223.7801	-169.1641	-54.616	0.00336349	0.0438441	0.62827	0.248135	0.0333331	0.00259746	0.0106779	0.00283772	0.0182895	0.101517	0.127966
510	-224.5723	-166.8814	-57.69086	0.0137076	0.0370299	0.442986	0.013948	0.00870739	0.000536304	0.000477862	0.00348831	1.26923	0.0216281	0.0180706
520	-215.2095	-166.7059	-48.50363	0.0351627	0.0184126	0.253381	0.0568198	0.0104084	0.0613393	0.0095737	0.011942	0.13189	0.125704	0.0532118
530	-213.9185	-167.2455	-46.67298	0.134114	0.0952956	0.34476	0.0128119	0.00403318	0.0519082	0.118636	0.124256	0.042385	0.357128	0.0894523
540	-202.0631	-170.1727	-31.89045	0.0374826	0.107274	0.0508089	0.0293378	0.10232	0.0565141	0.0461134	0.0690662	0.0908496	0.0647752	0.0977059
550	-184.5576	-170.1435	-14.41412	0.0468752	0.0516189	0.0476849	0.0485016	0.0499905	0.0507067	0.0484526	0.0521091	0.0602301	0.0464311	0.0537875
560	-196.0126	-169.3651	-26.64748	0.0946616	0.154139	0.104124	0.114379	0.0585408	0.065514	0.0519216	0.0335123	0.0473963	0.0350661	0.0451066
570	-189.4095	-171.4285	-17.98102	0.129469	0.0944849	0.109842	0.107673	0.112342	0.104144	0.085475	0.112711	0.135676	0.158212	0.155206
580	-195.9234	-168.9992	-26.92425	0.0775314	0.144734	0.153777	0.0882044	0.111275	0.110568	0.205239	0.239716	0.230755	0.494226	0.355202
590	-201.2078	-163.218	-37.98983	0.168433	0.215801	0.0949366	0.0295458	0.0347382	0.0496358	0.128318	0.0823644	0.634537	0.122882	0.205717
600	-209.7068	-170.2794	-39.4274	0.107	0.0934053	0.0360134	0.0658323	0.094873	0.287777	0.090144	0.160123	0.101668	0.0426938	0.0396758
610	-205.1143	-166.3731	-38.74122	0.144653	0.0212176	0.0313737	0.0252751	0.018675	0.376597	0.38342	0.159644	0.103952	0.103699	0.0836835
620	-200.6773	-166.5477	-34.12958	0.0475649	0.119321	0.118995	0.0837436	0.0949146	0.364657	0.307775	0.16154	0.339848	0.338098	0.132747
630	-178.5513	-174.1116	-4.439669	0.150031	0.145884	0.161691	0.187031	0.184865	0.185067	0.173023	0.174712	0.17175	0.172405	0.165865
640	-201.8122	-165.6444	-36.16779	0.0895231	0.116876	0.106965	0.16296	0.246431	0.331498	0.27477	0.282402	0.284985	0.159949	0.0614261
650	-167.3135	-171.0952	3.781634	0.147937	0.151607	0.151598	0.152691	0.156986	0.158392	0.156155	0.155033	0.151692	0.153882	0.153077
660	-170.677	-170.9454	0.268346	0.139885	0.147883	0.146371	0.146779	0.150269	0.146263	0.144265	0.139327	0.146204	0.141072	0.134652
670	-199.0739	-166.5525	-32.52141	0.0757505	0.143033	0.148542	0.154294	0.0951778	0.095854	0.189768	0.067949	0.0904701	0.0723196	0.0472381
680	-199.1979	-165.4092	-33.78868	0.161498	0.24281	0.192568	0.259083	0.118058	0.200593	0.0918956	0.0963011	0.137845	0.120443	0.0838961
690	-197.3742	-170.2095	-27.16467	0.177234	0.275042	0.368711	0.209038	0.145949	0.201869	0.126644	0.0698154	0.0476092	0.0575337	0.0721651
700	-200.7681	-170.8823	-29.88577	0.189753	0.204657	0.152399	0.203735	0.246624	0.165399	0.0687324	0.0283264	0.0481871	0.0286893	0.0501847
710	-211.6387	-171.7459	-39.89274	0.294646	0.445996	0.177492	0.107644	0.138445	0.0689833	0.0104878	0.0316954	0.0704553	0.0278852	0.0554517
720	-198.2647	-171.117	-27.14767	0.155513	0.14027	0.0874112	0.0760531	0.0893512	0.110278	0.074632	0.0427434	0.0392993	0.0323969	0.0377892
