Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]	interval_times[10]
440	-206.3837	-170.4176	-35.96608	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
450	-209.1376	-166.0128	-43.12472	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
460	-208.3786	-166.8369	-41.54169	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
470	-209.6104	-168.4654	-41.14498	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
480	-208.4217	-166.9737	-41.44797	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
490	-203.7141	-162.7507	-40.96348	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
500	-206.4473	-160.9021	-45.54522	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
510	-199.4371	-162.5239	-36.91328	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
520	-199.922	-162.2874	-37.63463	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
530	-202.6591	-163.8331	-38.82605	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
540	-205.9305	-167.8907	-38.03977	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
550	-203.3473	-164.4407	-38.90661	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
560	-203.3357	-163.5901	-39.74561	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
570	-204.0159	-168.1005	-35.91536	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
580	-204.886	-167.1647	-37.72136	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
590	-161.3457	-170.2558	8.910102	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
600	-208.6078	-172.0968	-36.51098	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
610	-188.4859	-167.5784	-20.90747	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
620	-211.9677	-166.7464	-45.22129	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
630	-214.4303	-164.304	-50.12639	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
640	-204.6756	-171.9671	-32.70856	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
650	-185.4162	-166.8772	-18.53893	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
660	-195.4764	-166.2319	-29.24457	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
670	-208.4925	-168.0315	-40.46099	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
680	-216.3521	-169.769	-46.58309	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
690	-211.0706	-172.0374	-39.0332	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
700	-204.15	-171.4832	-32.66677	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
710	-200.5199	-168.4228	-32.09708	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
720	-200.7066	-167.653	-33.05361	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
730	-198.7969	-173.1216	-25.67527	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
740	-207.8828	-171.7165	-36.16628	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
750	-214.1303	-170.9955	-43.13476	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
760	-215.2492	-170.2738	-44.9754	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
770	-161.2542	-170.8193	9.565155	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
780	-158.2548	-170.2446	11.9898	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
790	-205.9422	-179.2123	-26.72995	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
800	-211.7921	-169.64	-42.15212	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
810	-205.24	-169.6554	-35.58463	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
820	-201.97	-169.0808	-32.88922	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
830	-196.6516	-168.5372	-28.11446	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
840	-196.9164	-165.7751	-31.14128	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
850	-197.082	-167.8309	-29.25107	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
860	-198.7689	-172.1282	-26.64065	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
870	-204.6155	-168.9239	-35.6916	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
880	-213.548	-168.5076	-45.04048	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
890	-182.6322	-170.8154	-11.8168	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
900	-162.22	-176.1279	13.90789	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
910	-210.9022	-170.2537	-40.64847	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
920	-223.311	-172.0455	-51.26551	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
930	-189.3117	-170.802	-18.50976	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
940	-196.3105	-172.3646	-23.94595	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
950	-209.6999	-177.4375	-32.26241	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
960	-213.3764	-173.0473	-40.32912	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
970	-217.2712	-178.3477	-38.92345	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
980	-215.1445	-169.1741	-45.97033	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
990	-215.422	-169.2061	-46.21588	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1000	-221.3244	-167.6108	-53.71365	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1010	-218.8133	-170.3998	-48.41343	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1020	-219.1504	-171.377	-47.77343	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1030	-214.9249	-170.842	-44.08294	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1040	-184.5092	-171.6146	-12.89461	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1050	-211.2378	-169.7844	-41.45338	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1060	-201.8062	-174.4477	-27.35848	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1070	-217.0194	-174.2122	-42.80715	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1080	-226.9873	-171.9782	-55.00903	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1090	-218.1131	-171.852	-46.2611	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1100	-217.3513	-174.3663	-42.98501	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1110	-185.9522	-172.1675	-13.78465	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1120	-223.0631	-175.7097	-47.35344	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1130	-224.9676	-172.8752	-52.09243	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1140	-224.367	-174.2777	-50.0893	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1150	-203.0932	-173.1753	-29.91785	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1160	-221.8677	-169.5757	-52.29199	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1170	-219.2521	-168.6663	-50.58575	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1180	-211.5771	-170.8963	-40.68084	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1190	-226.2561	-170.2674	-55.98868	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1200	-186.2673	-170.7016	-15.56569	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1210	-216.7264	-171.8368	-44.88964	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1220	-173.2208	-167.8403	-5.380497	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1230	-213.9522	-170.0268	-43.92532	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1240	-204.3274	-166.1877	-38.13967	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1250	-202.4928	-161.8112	-40.68163	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1260	-201.3666	-160.8218	-40.54478	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1270	-201.611	-159.9951	-41.61595	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1280	-207.3048	-161.0122	-46.29255	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1290	-199.5457	-164.6441	-34.90157	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1300	-203.165	-164.8161	-38.34885	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1310	-202.0286	-162.5154	-39.5132	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1320	-197.9917	-160.0594	-37.9323	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1330	-199.7033	-164.2565	-35.44686	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
1340	-200.9789	-160.9706	-40.00832	7.96907	15.9381	23.9072	31.8763	39.8453	47.8144	55.7835	63.7525	71.7216	79.6907
