Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
100	-203.398	-164.653	-38.74505	0.219776	0.0268443	0.0154524	0.0139664	0.157745	0.303236	0.59652	0.359878	0.690245	0.433283	0.100507	1.417092	-1.51514	-3.6177	-4.16999	-4.2711	-1.84678	-1.19325	-0.516642	-1.02199	-0.370708	-0.836363	-2.29753	-6.56616	-5.58415	-4.94011	-3.56906	-2.72187	-2.47782	-0.45465	-0.170429	-0.567312	-1.16067	-1.3447	0.00140719	0.00375694	0.00715382	0.0281822	0.0657517	0.0839262	0.63467	0.843303	0.567048	0.313277	0.260619	0.7228283
110	-207.7045	-163.173	-44.53158	0.103814	0.0732398	0.0256601	0.00559124	0.138692	0.206552	0.849033	0.248106	0.790718	0.134429	0.162483	1.364681	-2.26515	-2.61402	-3.66282	-5.18655	-1.9755	-1.5772	-0.163657	-1.3939	-0.234814	-2.00672	-1.81718	-6.40968	-5.643	-4.90094	-3.74388	-2.89602	-2.69758	-0.217696	-0.254081	-0.439885	-3.20895	-1.79338	0.00164554	0.00354221	0.00743958	0.0236621	0.0552429	0.0673686	0.80437	0.775629	0.64411	0.0403991	0.166397	1.48559
120	-202.1056	-160.2628	-41.84279	0.0495787	0.0806874	0.0562188	0.032939	0.0759019	0.427997	0.764971	0.158527	0.609788	0.428111	0.350369	1.075589	-3.00419	-2.51717	-2.8785	-3.4131	-2.57831	-0.848638	-0.267917	-1.84183	-0.494644	-0.848372	-1.04877	-9.07263	-9.2102	-7.82538	-4.93339	-2.69391	-3.25324	-0.148783	-0.176273	-0.605309	-1.66287	-0.765766	0.000114765	0.000100014	0.000399468	0.00720202	0.0676163	0.0386488	0.861756	0.838389	0.545906	0.189594	0.464978	1.681719
130	-208.7804	-162.2846	-46.49579	0.0312138	0.0144969	0.0221714	0.0429763	0.0909194	0.403511	0.830911	0.193181	0.60193	0.167377	0.0805241	1.02415	-3.4669	-4.23382	-3.80895	-3.14711	-2.39778	-0.907552	-0.185233	-1.64413	-0.507614	-1.78751	-2.5192	-8.86266	-9.11269	-11.5977	-7.61248	-3.27338	-3.44738	-0.184797	-0.126621	-0.61344	-2.56237	-3.10525	0.000141577	0.000110258	9.18761e-06	0.000494244	0.0378782	0.0318289	0.831273	0.881068	0.541485	0.077122	0.0448132	2.429292
140	-213.6367	-165.1464	-48.49026	0.00946354	0.025155	0.0033581	0.00536715	0.0728254	0.581502	0.781427	0.260982	0.345641	0.0605468	0.0221647	1.676489	-4.66031	-3.6827	-5.69638	-5.22746	-2.61969	-0.54214	-0.246634	-1.3433	-1.06235	-2.80434	-3.80925	-7.31615	-7.71775	-5.48139	-5.39644	-4.33371	-2.95212	-0.157571	-0.0973746	-0.973794	-4.95151	-3.83353	0.000664718	0.000444862	0.00416353	0.00453268	0.0131188	0.0522287	0.854216	0.907216	0.377648	0.00707269	0.0216331	1.399389
150	-219.0446	-168.8936	-50.15101	0.00235348	0.00580447	0.0148497	0.00407146	0.0451979	0.632671	0.673559	0.158831	0.237868	0.0218375	0.00237738	2.49099	-6.05186	-5.14913	-4.20978	-5.50375	-3.0967	-0.457805	-0.395179	-1.83992	-1.43604	-3.82413	-6.04176	-8.84822	-9.84836	-7.08629	-5.23	-3.61264	-2.97444	-0.279375	-0.158059	-1.63157	-2.78514	-1.83889	0.000143637	5.28337e-05	0.000836495	0.00535355	0.0269805	0.051076	0.756256	0.853799	0.195622	0.0617207	0.158994	1.30555
160	-217.9969	-164.8499	-53.14704	0.0880219	0.0198122	0.00590996	0.000139896	0.00918302	0.391733	0.490973	0.0383932	0.306927	0.0719539	0.0338382	3.080714	-2.43017	-3.92146	-5.13112	-8.87461	-4.6904	-0.937175	-0.711366	-3.25988	-1.18115	-2.63173	-3.38617	-9.81592	-7.30792	-6.33625	-5.55457	-4.08713	-2.77188	-0.501129	-0.618067	-1.31468	-3.65033	-2.5446	5.45758e-05	0.000670212	0.00177094	0.00386972	0.0167874	0.0625445	0.605846	0.538985	0.268561	0.0259826	0.0785043	1.681898
170	-220.0727	-163.1804	-56.89232	0.144791	0.0145033	0.0213858	4.54349e-05	0.00576554	0.535614	0.603712	0.0330363	0.167732	0.105926	0.00967098	3.327209	-1.93246	-4.23338	-3.84503	-9.99923	-5.15586	-0.624341	-0.504657	-3.41015	-1.78539	-2.24502	-4.63863	-8.52282	-7.18419	-7.76352	-6.58261	-2.94192	-3.16572	-0.13085	-0.701163	-1.10941	-2.33789	-4.22417	0.000198878	0.000758481	0.00042496	0.00138423	0.0527643	0.0421838	0.877349	0.496008	0.329753	0.0965309	0.0146375	1.64799
180	-213.5517	-162.7289	-50.82283	0.0781803	0.00377151	0.0327809	0.000689856	0.0180208	0.277227	0.423098	0.110301	0.736645	0.0606953	0.0766461	1.913164	-2.54874	-5.58028	-3.41791	-7.27903	-4.01623	-1.28292	-0.860152	-2.20454	-0.30565	-2.80189	-2.56856	-8.58191	-6.74167	-7.18788	-6.25619	-3.91277	-3.58116	-1.04521	-0.507204	-0.357443	-1.38557	-2.62781	0.000187467	0.00118067	0.000755691	0.00191853	0.0199851	0.0278433	0.351618	0.602177	0.699463	0.250182	0.0722365	1.573421
190	-209.962	-167.1992	-42.76286	0.120725	0.144994	0.00614035	0.0014287	0.0265688	0.158912	0.305443	0.182168	0.488258	0.0303276	0.0676289	1.598603	-2.11424	-1.93107	-5.09287	-6.55099	-3.62802	-1.8394	-1.18599	-1.70283	-0.716912	-3.4957	-2.69372	-5.56244	-4.68513	-5.51984	-5.01328	-4.00926	-3.08746	-1.45944	-0.373527	-1.0395	-2.13137	-2.19423	0.0038394	0.00923156	0.00400648	0.00664906	0.0181467	0.0456175	0.232367	0.688302	0.353631	0.118675	0.111444	0.8638725
