Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
380	-202.118	-168.2902	-33.82786	0.031679	0.0466983	0.0331956	0.12091	0.125953	0.139037	0.208904	0.399787	0.549978	0.59911	0.267559
390	-203.9803	-166.9651	-37.01517	0.0951851	0.0659219	0.0619018	0.113376	0.139585	0.134712	0.237328	0.472375	0.567355	0.872938	0.29892
400	-211.9052	-161.9492	-49.95605	0.00742321	0.00878867	0.0065836	0.0447462	0.168739	0.437002	0.223737	0.710387	1.80751	1.41154	0.127506
410	-214.3158	-167.2799	-47.0359	0.00718053	0.00545833	0.043015	0.181174	0.217205	0.328404	0.0676033	0.812305	1.71836	1.70649	0.0934878
420	-213.4205	-165.7061	-47.7144	0.00764462	0.00309622	0.0112375	0.0581276	0.223436	0.112122	0.118406	0.487968	0.765029	0.949611	0.181589
430	-209.7054	-166.8664	-42.839	0.0628175	0.0155682	0.0658357	0.0652042	0.0339843	0.079563	0.287479	0.211833	0.786904	0.944514	0.176455
440	-206.3837	-170.4176	-35.96608	0.0262592	0.0720022	0.0673863	0.0537403	0.134586	0.121607	0.0578753	0.109109	0.286348	0.393201	0.310429
450	-209.1376	-166.0128	-43.12472	0.0349686	0.0292204	0.0845244	0.102129	0.0364385	0.0191458	0.0340019	0.139407	1.01739	0.475689	0.171148
460	-208.3786	-166.8369	-41.54169	0.0385948	0.0386744	0.0387679	0.0451413	0.0561262	0.0891592	0.0641648	0.123618	0.550084	0.241079	0.01933
470	-209.6104	-168.4654	-41.14498	0.00402865	0.00699903	0.0148656	0.0481169	0.0505358	0.0665736	0.242861	0.115435	0.442788	0.194497	0.0717555
480	-208.4217	-166.9737	-41.44797	0.00235219	0.00308922	0.0068544	0.0168535	0.0976818	0.184787	0.0728648	0.0542511	0.664327	0.106741	0.0373597
490	-203.7141	-162.7507	-40.96348	0.0245748	0.0219446	0.0190785	0.224331	0.209615	0.164087	0.123099	0.210057	1.06127	0.393402	0.117983
500	-206.4473	-160.9021	-45.54522	0.0393332	0.0849959	0.0505146	0.0415907	0.126571	0.354597	0.117386	0.127533	1.06848	0.320816	0.117471
510	-199.4371	-162.5239	-36.91328	0.023134	0.0409814	0.123074	0.0878935	0.0645054	0.131666	0.144629	0.203583	0.743913	0.718931	0.384401
520	-199.922	-162.2874	-37.63463	0.0592054	0.0598341	0.0555329	0.0524388	0.0437903	0.231062	0.217369	0.304675	1.03073	0.792699	0.693281
530	-202.6591	-163.8331	-38.82605	0.151832	0.0334049	0.0333308	0.0297131	0.0690308	0.0925605	0.180251	0.239588	1.1258	1.00178	0.427735
540	-205.9305	-167.8907	-38.03977	0.0449448	0.0877154	0.039479	0.0175647	0.027651	0.0753597	0.202575	0.188805	0.388212	0.434489	0.585517
550	-203.3473	-164.4407	-38.90661	0.0691822	0.0400217	0.0508982	0.112852	0.107127	0.067387	0.0613723	0.129171	0.335008	1.14991	0.479898
560	-203.3357	-163.5901	-39.74561	0.079567	0.0219088	0.0427924	0.139035	0.0815325	0.0796879	0.0915363	0.107534	0.663635	0.622401	0.564268
570	-204.0159	-168.1005	-35.91536	0.0423923	0.0522851	0.0244607	0.0305788	0.0877839	0.075824	0.0563798	0.130399	0.286135	0.532101	0.407894
580	-204.886	-167.1647	-37.72136	0.05749	0.083113	0.0912542	0.100923	0.0911062	0.0597926	0.0310259	0.0849574	0.321046	0.35577	0.311997
590	-161.3457	-170.2558	8.910102	0.0651878	0.0657031	0.0657053	0.0659774	0.0661932	0.0653338	0.0647169	0.0644019	0.064968	0.0655667	0.0658138
600	-208.6078	-172.0968	-36.51098	0.120559	0.105927	0.167772	0.129625	0.123497	0.0787435	0.0649	0.0136324	0.0260522	0.0667168	0.0512274
610	-188.4859	-167.5784	-20.90747	0.0602331	0.0557117	0.065756	0.0572525	0.0676599	0.0577948	0.0569847	0.0504847	0.0493049	0.057663	0.0553479
620	-211.9677	-166.7464	-45.22129	0.0698247	0.0450186	0.116075	0.117492	0.109797	0.0373648	0.0665449	0.0362366	0.205255	0.0577494	0.0623316
630	-214.4303	-164.304	-50.12639	0.0418121	0.144245	0.024605	0.0560023	0.153273	0.0901451	0.0477535	0.0447583	0.354926	0.0242695	0.0859065
640	-204.6756	-171.9671	-32.70856	0.164243	0.147034	0.110144	0.137149	0.148043	0.109114	0.113288	0.20272	0.360198	0.171031	0.0987392
650	-185.4162	-166.8772	-18.53893	0.175747	0.179064	0.153678	0.168626	0.156915	0.16946	0.157327	0.158934	0.17389	0.152185	0.14385
660	-195.4764	-166.2319	-29.24457	0.191575	0.175513	0.215598	0.20167	0.174979	0.120169	0.102143	0.0910311	0.135534	0.242017	0.216411
670	-208.4925	-168.0315	-40.46099	0.195411	0.256797	0.0908366	0.106346	0.272195	0.234036	0.0922398	0.0245924	0.0761661	0.088252	0.0282841
680	-216.3521	-169.769	-46.58309	0.270977	0.3461	0.182025	0.157911	0.206425	0.367538	0.176138	0.00481995	0.0231646	0.013716	0.0452494
690	-211.0706	-172.0374	-39.0332	0.273241	0.35147	0.205697	0.303368	0.124527	0.206794	0.075078	0.0572274	0.0361717	0.0478629	0.0744223
700	-204.15	-171.4832	-32.66677	0.163352	0.295548	0.163161	0.0989003	0.0730345	0.0630085	0.0704018	0.0736874	0.0605575	0.0471078	0.030074
710	-200.5199	-168.4228	-32.09708	0.120961	0.128931	0.196865	0.176429	0.141335	0.0872897	0.0684052	0.0691956	0.090629	0.070763	0.138455
720	-200.7066	-167.653	-33.05361	0.323343	0.158202	0.122949	0.189925	0.121909	0.0861914	0.060092	0.0643888	0.150528	0.0571164	0.111856
730	-198.7969	-173.1216	-25.67527	0.203215	0.136241	0.131124	0.126381	0.113397	0.109629	0.218838	0.128624	0.107566	0.0984772	0.117241
740	-207.8828	-171.7165	-36.16628	0.143134	0.0379455	0.031075	0.0159964	0.0140177	0.019688	0.0460056	0.0943209	0.111013	0.0873983	0.0264751
750	-214.1303	-170.9955	-43.13476	0.0298625	0.0390048	0.02049	0.0163905	0.0103846	0.0111703	0.0080399	0.0356554	0.0397939	0.0118234	0.0380687
760	-215.2492	-170.2738	-44.9754	0.149986	0.0710433	0.0199864	0.0298794	0.0113743	0.0038897	0.00662501	0.00631129	0.0185881	0.0337343	0.0460472
770	-161.2542	-170.8193	9.565155	0.0371867	0.0371717	0.0373114	0.0372411	0.0372573	0.0370298	0.0369996	0.0369713	0.0368711	0.0368141	0.0368848
780	-158.2548	-170.2446	11.9898	0.0460046	0.0458976	0.0459523	0.0458083	0.0455179	0.0456178	0.0456579	0.0454458	0.0453922	0.0452029	0.0451136
790	-205.9422	-179.2123	-26.72995	0.0544958	0.0507057	0.0518302	0.0219743	0.0337969	0.0398899	0.0383055	0.0490852	0.0280943	0.0111648	0.00599973
