Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
370	-205.0234	-165.8912	-39.13226	0.000743499	0.00405314	0.0187748	0.00950705	0.0461666	0.0114276	0.382226	1.08787	0.571028	0.127256	0.367439
380	-202.118	-168.2902	-33.82786	0.0069558	0.00984396	0.00361901	0.00684342	0.0846515	0.0697543	0.153398	0.914659	0.507707	0.0709047	0.362094
390	-203.9803	-166.9651	-37.01517	0.00374679	0.00403281	0.00360818	0.0244705	0.047603	0.178064	0.186577	0.959106	0.658756	0.163764	0.633379
400	-211.9052	-161.9492	-49.95605	0.000376811	3.79646e-05	5.97898e-05	0.00554176	0.039432	0.00466346	0.320285	1.20984	1.66107	0.265252	0.815938
410	-214.3158	-167.2799	-47.0359	0.00108905	0.000319166	0.000338015	0.00172319	0.0357947	0.0211419	0.375362	1.20722	1.58062	0.753086	0.760447
420	-213.4205	-165.7061	-47.7144	0.00123665	5.49933e-05	0.00018904	0.000317633	0.0141566	0.0112925	0.206765	0.877617	0.767061	0.336927	0.527552
430	-209.7054	-166.8664	-42.839	0.000229845	8.59734e-05	0.00102089	0.00175108	0.0150455	0.0384494	0.121682	0.864406	0.753541	0.115935	0.591473
440	-206.3837	-170.4176	-35.96608	0.000256552	0.000715682	0.00120404	0.0223071	0.0550457	0.146108	0.0864438	0.358219	0.543906	0.143627	0.305779
450	-209.1376	-166.0128	-43.12472	0.000411277	0.00145078	0.00072738	0.0236135	0.0479953	0.00741218	0.067773	0.357287	0.953119	0.566072	0.183671
460	-208.3786	-166.8369	-41.54169	0.000271746	0.000564617	0.00260794	0.00248617	0.0270843	0.0103707	0.0621886	0.573646	0.630595	0.168658	0.0745896
470	-209.6104	-168.4654	-41.14498	0.000606961	0.00177037	0.00249782	0.000488086	0.0195504	0.0157575	0.0624017	0.508856	0.248893	0.100183	0.0724374
480	-208.4217	-166.9737	-41.44797	0.00184375	0.00337279	0.00232151	0.00966751	0.0157463	0.00646455	0.129333	0.319838	0.402628	0.142798	0.116303
490	-203.7141	-162.7507	-40.96348	0.000606419	0.00034529	0.00125777	0.0100711	0.117238	0.0674981	0.247082	0.672744	1.01978	0.43142	0.157072
500	-206.4473	-160.9021	-45.54522	0.00184738	0.00245789	0.000217759	0.00827066	0.0697302	0.0219249	0.274935	0.660401	0.740371	0.337546	0.285291
510	-199.4371	-162.5239	-36.91328	0.000870384	0.00366537	0.00293345	0.0113279	0.0668366	0.0441741	0.171089	0.628458	0.604844	0.375787	0.58118
520	-199.922	-162.2874	-37.63463	0.00041863	0.000448122	0.00223789	0.00269893	0.0894808	0.0796451	0.156285	0.793975	1.14796	0.161592	0.89731
530	-202.6591	-163.8331	-38.82605	9.09646e-05	0.000140084	0.000244284	0.00322449	0.0343854	0.0725092	0.117767	0.746559	0.818325	0.193543	0.760079
540	-205.9305	-167.8907	-38.03977	0.00129671	0.00225033	0.00148776	0.00711811	0.0631359	0.0379512	0.0827659	0.489886	0.598715	0.0341173	0.558974
550	-203.3473	-164.4407	-38.90661	0.00740821	0.000476186	0.000496119	0.00469251	0.0548397	0.0233941	0.108683	0.536838	0.497785	0.374026	0.767848
560	-203.3357	-163.5901	-39.74561	0.000607851	0.000239178	0.0021999	0.00360652	0.0419363	0.0138488	0.0747791	0.619477	0.642487	0.154866	0.774555
570	-204.0159	-168.1005	-35.91536	0.000801533	0.000129072	0.000740503	0.00286167	0.0341305	0.0104764	0.0789151	0.476775	0.393859	0.496857	0.332311
580	-204.886	-167.1647	-37.72136	0.000127632	0.000289214	0.00347601	0.0390727	0.187823	0.0123209	0.0602843	0.467708	0.268362	0.185697	0.375846
590	-161.3457	-170.2558	8.910102	0.000374303	0.00122287	0.00237277	0.00897439	0.0449916	0.0382204	0.0640849	0.51001	0.241135	0.145072	0.0289873
600	-208.6078	-172.0968	-36.51098	0.000254886	0.00158335	0.00513696	0.0167845	0.0813642	0.163896	0.174546	0.53055	0.432053	0.0322937	0.0110124
610	-188.4859	-167.5784	-20.90747	0.00185467	0.00139633	0.0093385	0.007289	0.0321172	0.0103219	0.103769	0.421193	0.223695	0.0157481	0.0527982
620	-211.9677	-166.7464	-45.22129	7.63358e-05	0.000175575	0.00668949	0.01942	0.0471682	0.00472025	0.226752	0.354232	0.334477	0.0179165	0.0549691
630	-214.4303	-164.304	-50.12639	0.000381965	0.000128884	0.00216383	0.00101755	0.15207	0.0538076	0.170668	0.346098	0.446328	0.0613788	0.0793189
640	-204.6756	-171.9671	-32.70856	0.00100399	0.0070636	0.00208051	0.0143927	0.324179	0.135567	0.28507	0.538612	0.59944	0.18165	0.122582
650	-185.4162	-166.8772	-18.53893	0.00344507	0.00875339	0.00512703	0.0265551	0.342925	0.0567289	0.271967	0.689558	0.42698	0.106608	0.133687
660	-195.4764	-166.2319	-29.24457	0.0018532	0.000955596	0.0264394	0.0492372	0.462883	0.0790574	0.216095	0.527264	0.475332	0.0436578	0.275469
670	-208.4925	-168.0315	-40.46099	0.00430185	0.0171055	0.0217599	0.0712235	0.506997	0.066546	0.106199	0.629412	0.254861	0.0390226	0.0132174
680	-216.3521	-169.769	-46.58309	0.00177236	0.0129644	0.10923	0.128436	0.538339	0.041773	0.282779	0.65856	0.217078	0.016531	0.0231634
690	-211.0706	-172.0374	-39.0332	0.000278619	0.000545583	0.00638863	0.0358834	0.648376	0.0482882	0.432992	0.555487	0.214852	0.0260891	0.00652548
700	-204.15	-171.4832	-32.66677	0.001561	0.00059834	0.0097936	0.0489591	0.439396	0.0850013	0.181757	0.316837	0.227464	0.0425694	0.00242909
710	-200.5199	-168.4228	-32.09708	0.00112026	0.00406655	0.00240469	0.00736396	0.414903	0.11812	0.196271	0.329082	0.369346	0.022172	0.0881371
720	-200.7066	-167.653	-33.05361	0.0090931	0.00568209	0.0264811	0.072454	0.424985	0.0923867	0.161392	0.410667	0.358407	0.0687793	0.128416
730	-198.7969	-173.1216	-25.67527	0.00124476	0.00471312	0.0123233	0.0684538	0.338555	0.126661	0.221375	0.399222	0.209204	0.0856714	0.194664
740	-207.8828	-171.7165	-36.16628	0.0018378	0.00458039	0.00340463	0.00357637	0.0475249	0.0196965	0.0544224	0.378368	0.116608	0.0575431	0.0220706
750	-214.1303	-170.9955	-43.13476	0.000192462	0.000532192	3.89149e-05	0.000396551	0.0199002	0.00366373	0.0289289	0.196824	0.130638	0.0110736	0.0803701
760	-215.2492	-170.2738	-44.9754	0.00375905	4.81027e-05	4.12459e-05	0.000626551	0.0461667	0.0435087	0.0333091	0.256504	0.290967	0.033181	0.00963412
